vol1-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.1,0.042258,0.420945,1011.96,24.4157,-527.893,22.016,-0.07158,3.41703,0.00087656,0.136873,0.048866,0.496082,1013.18,-13.2917,-614.32,-7.86561,-0.0507681,3.4777,0.000336677,-0.17225,0.084206,0.084206,1013.18,-13.2447,-614.318,-7.86578,-0.0507115,3.47676,0.000279556,-0.169978
0.104,0.042251,0.422312,1010.07,8.13251,-656.545,47.7563,-0.0776902,3.43736,0.00190364,-0.428865,0.049373,0.395998,1011.08,-14.9811,-608.527,-6.72815,-0.0450235,3.48145,0.000263845,-0.165079,0.056427,0.056427,1011.08,-15.1293,-608.512,-6.72001,-0.0449442,3.47736,0.000219229,-0.168935
0.108,0.041445,0.539494,1011.5,-66.663,-715.674,-23.1744,-0.0542255,3.36882,0.000987711,0.424469,0.048977,0.490824,1012.42,-33.7421,-611.411,-18.4524,-0.0433879,3.38505,0.000253485,-0.170087,0.084911,0.084911,1012.42,-33.7398,-611.425,-18.4654,-0.0432875,3.382,0.000209268,-0.17232
0.112,0.042207,0.423486,1013.66,-31.6394,-565.993,-28.1834,-0.0536759,3.12835,0.00114574,-0.672781,0.04933,0.496348,1014.3,-44.049,-596.422,-4.32651,-0.0419832,3.34021,0.00021439,-0.187795,0.088909,0.088909,1014.3,-44.6482,-596.253,-4.21686,-0.0418073,3.33479,0.000188118,-0.178309
0.116,0.044774,0.448289,1014.46,-43,-718.296,2.35069,-0.0754469,3.39488,-0.000324289,-0.641083,0.052006,0.521324,1014.81,-41.476,-588.35,-12.8869,-0.0453434,3.3295,0.000208402,-0.159105,0.085819,0.085819,1014.81,-41.556,-588.313,-12.864,-0.0454559,3.32818,0.000165808,-0.167377
0.12,0.044754,0.419732,1012.44,-15.9397,-645.134,-7.65261,-0.0794793,3.77717,0.00101047,-0.291443,0.049034,0.49054,1012.92,-54.6314,-594.328,-11.2037,-0.038932,3.34851,0.000176624,-0.170654,0.084175,0.084175,1012.92,-55.2065,-594.175,-11.1271,-0.0389907,3.347,0.000138142,-0.169435
0.124,0.043675,0.445995,1012.76,-76.1944,-589.209,-17.4841,-0.0619797,3.08728,0.000584314,-0.092185,0.051845,0.518003,1013.9,-64.3243,-592.26,-8.38974,-0.0402424,3.24352,0.000166869,-0.159515,0.08848,0.08848,1013.9,-63.8116,-592.381,-8.41855,-0.0404392,3.24358,0.000133644,-0.151472
0.128,0.041222,0.414462,1011.84,-12.1668,-678.164,21.4002,-0.0616683,4.01396,6.08837e-05,0.703037,0.049138,0.482069,1012.98,-71.4432,-607.247,-9.31408,-0.0312885,3.48154,0.000100052,-0.16681,0.082656,0.082656,1012.98,-71.7783,-607.122,-9.26031,-0.0313841,3.48133,7.45439e-05,-0.166244
0.132,0.045733,0.433905,1012.05,-105.703,-514.981,-14.4526,-0.036328,3.28176,-0.000806024,-0.429573,0.050508,0.514349,1013.05,-92.202,-592.34,-10.7633,-0.0251033,3.35061,0.000122062,-0.147271,0.088039,0.088039,1013.05,-91.9767,-592.41,-10.7757,-0.0251543,3.35136,8.0305e-05,-0.158273
0.136,0.04552,0.413265,1010.01,-132.836,-609.858,-43.7061,-0.0521176,3.74303,-0.000509993,-0.205292,0.058117,0.499762,1010.68,-97.4697,-606.747,-3.4358,-0.0265516,3.39221,8.01688e-05,-0.153773,0.085983,0.085983,1010.68,-97.626,-606.74,-3.43705,-0.0264594,3.38792,4.42613e-05,-0.166055
0.14,0.041863,0.421378,1011.53,-91.5962,-621.505,19.8962,-0.0298156,3.61048,-0.00104592,-0.693733,0.048985,0.489155,1011.89,-113.575,-584.835,-5.49983,-0.0205647,3.31072,0.000105659,-0.172585,0.087163,0.087163,1011.89,-113.875,-584.779,-5.50985,-0.0205651,3.30831,4.28555e-05,-0.174812
