spot2-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
48.91,2.33391,37.7554,547.475,-12.4915,-35.0131,5.94282,0.00271526,12.9876,-2.29481e-05,0.0281725,3.50902,29.9528,549.349,-13.5327,-34.8547,3.36867,0.00329372,12.9985,-1.33045e-05,0.0233178,4.55777,4.55777,549.349,-13.5282,-34.8528,3.36366,0.0032949,12.9982,-1.66503e-05,0.0332423
50.8664,3.42593,28.2863,572.798,-16.9553,-64.4108,-2.67502,0.00285617,12.9696,-1.98697e-05,0.0617485,3.37138,34.87,574.736,-17.3024,-73.8407,5.83126,0.00400575,13.0098,-1.94956e-05,0.0298141,4.57889,4.57889,574.736,-17.3007,-73.8398,5.82891,0.00397746,13.0112,-2.15136e-05,0.0275564
52.8228,2.51215,28.9773,598.01,-24.7736,-107.084,-3.15782,0.00485296,13.0652,-1.12621e-05,0.260003,3.25742,31.5346,600.04,-23.2771,-112.898,6.87843,0.00521774,13.0792,-2.13842e-05,0.0351521,5.9951,5.9951,600.04,-23.2658,-112.901,6.87475,0.0052243,13.0795,-2.7185e-05,0.00601856
54.7792,2.59694,24.1407,623.805,-26.6501,-162.65,-1.56558,0.00514025,13.0645,-5.69439e-05,0.363137,2.60989,28.2076,625.874,-27.42,-156.516,7.6637,0.00599695,13.0722,-3.47621e-05,0.0198677,5.84311,5.84311,625.874,-27.4231,-156.517,7.66235,0.00599169,13.0723,-3.34967e-05,-0.0127389
56.7356,2.27262,25.2824,649.086,-33.6186,-195.701,1.66464,0.00670817,12.9343,-2.34347e-05,-0.0425996,2.46218,24.9161,651.13,-35.3928,-205.852,9.55932,0.0074041,12.9783,-3.8615e-05,-0.02145,4.16386,4.16386,651.13,-35.3866,-205.855,9.55127,0.00739306,12.9751,-4.00935e-05,-0.0385177
58.692,2.04702,21.1323,674.187,-45.2648,-259.618,6.67377,0.00837542,12.9489,-3.05891e-05,-0.290319,2.45946,24.6896,676.197,-42.5844,-255.786,11.6478,0.00877726,12.9433,-4.37518e-05,-0.0516642,4.14827,4.14827,676.197,-42.5925,-255.788,11.6476,0.00876574,12.9454,-4.5896e-05,-0.0675987
60.6484,2.05564,21.0225,699.957,-51.4414,-302.53,15.5671,0.00931987,12.7194,-2.93043e-05,-0.275853,2.44839,24.506,701.881,-51.3029,-308.816,12.5874,0.0103394,12.7412,-5.76515e-05,-0.158444,4.14093,4.14093,701.881,-51.3291,-308.822,12.5944,0.0103247,12.7383,-5.61156e-05,-0.11286
62.6048,2.1885,21.0359,724.783,-62.4322,-358.594,15.5165,0.0114633,12.5618,-5.49223e-05,-0.378429,2.50063,24.583,726.602,-61.9538,-364.468,15.6192,0.0122121,12.4614,-5.53745e-05,-0.181694,4.1804,4.1804,726.602,-61.9629,-364.463,15.6222,0.0121713,12.4667,-6.59786e-05,-0.157165
64.5612,2.10976,21.0132,748.667,-70.6502,-413.005,12.941,0.0134357,12.2753,-0.000106659,-0.36438,2.32324,24.4424,750.418,-72.7174,-420.428,16.0689,0.0143013,12.1847,-7.14363e-05,-0.194051,4.19101,4.19101,750.418,-72.7455,-420.426,16.0703,0.0142763,12.1888,-7.48098e-05,-0.200472
66.5176,2.09339,21.0291,771.948,-82.7941,-469.362,25.2381,0.0147668,11.8741,-0.000149404,-0.209786,2.45342,22.035,773.585,-82.9129,-475.987,18.011,0.0159327,11.7722,-8.3438e-05,-0.237319,4.13332,4.13332,773.585,-82.9219,-475.99,18.0126,0.0158526,11.7745,-8.48194e-05,-0.238009
68.474,1.34622,13.1322,795.815,-89.2025,-524.127,22.6223,0.015963,11.3037,-0.000163498,-0.237402,1.49142,14.8612,797.317,-93.6159,-523.719,20.1767,0.0174327,11.2421,-9.99021e-05,-0.260315,2.72957,2.72957,797.317,-93.5668,-523.721,20.1647,0.0173256,11.2429,-9.56051e-05,-0.27381
70.4304,1.31695,13.4218,816.773,-108.065,-577.904,14.9222,0.0192792,10.7625,-8.32423e-05,-0.245534,1.52435,15.1841,818.174,-107.148,-570.24,21.4839,0.0197977,10.6836,-0.000110564,-0.286059,2.78558,2.78558,818.174,-107.192,-570.246,21.4757,0.0197839,10.6834,-0.000107731,-0.278311
72.3868,1.33346,13.2649,836.538,-125.455,-599.715,17.0636,0.0214129,10.2076,-7.13394e-05,-0.347099,1.47769,14.9745,837.788,-119.81,-608.642,22.2287,0.0218468,10.1366,-0.000109866,-0.31704,2.77448,2.77448,837.788,-119.775,-608.65,22.2116,0.0217859,10.1388,-0.000110548,-0.30642
74.3432,1.31444,13.2732,856.59,-126.549,-660.764,25.2571,0.0229906,9.63154,-0.000137131,-0.395806,1.50081,15.1484,857.776,-133.24,-641.377,23.1286,0.0234916,9.56436,-0.000117812,-0.296555,2.68581,2.68581,857.776,-133.196,-641.383,23.1195,0.0234074,9.56614,-0.000117271,-0.323934
76.2996,1.3346,13.3417,874.588,-152.396,-661.404,26.7988,0.0251802,8.7798,-9.09753e-05,-0.392118,1.49247,14.9893,875.568,-146.53,-663.744,25.3932,0.0256455,8.79168,-0.000125034,-0.327591,2.77303,2.77303,875.568,-146.533,-663.75,25.3884,0.0256269,8.78643,-0.000137408,-0.328617
78.256,1.32705,13.3097,891.096,-166.956,-688.966,33.4934,0.0273669,8.24291,-9.34919e-05,-0.477017,1.50043,15.1493,892,-162.24,-681.579,24.7647,0.0279336,8.18587,-0.000128327,-0.347222,2.72574,2.72574,892,-162.326,-681.552,24.7863,0.0278699,8.18544,-0.00014458,-0.32764
80.2124,1.33271,13.2981,907.007,-184.206,-707.818,22.855,0.0287125,7.58953,-0.000303459,-0.466142,1.4809,14.8557,907.75,-176.202,-687.875,24.5391,0.029839,7.53789,-0.000164644,-0.330697,2.74548,2.74548,907.75,-176.239,-687.861,24.5437,0.0298448,7.53917,-0.000149898,-0.322234
82.1688,1.32232,13.3848,920.582,-193.864,-700.264,18.6284,0.0302045,7.01274,-6.03881e-05,-0.403441,1.52899,15.1991,921.303,-188.424,-694.436,26.0699,0.0308218,6.95602,-0.000157504,-0.323055,2.75871,2.75871,921.303,-188.377,-694.453,26.0621,0.0307255,6.95663,-0.000161344,-0.309421
84.1252,1.33442,13.3506,933.409,-210.833,-687.512,26.1203,0.033919,6.36078,1.91229e-05,-0.188035,1.49515,14.986,934.135,-207.405,-690.767,26.2229,0.0333764,6.312,-0.000148998,-0.276865,2.74991,2.74991,934.135,-207.36,-690.787,26.2125,0.0333228,6.31172,-0.000175003,-0.293436
86.0816,1.30866,13.2875,945.743,-216.602,-688.238,24.7916,0.0333133,5.7768,-6.59364e-05,-0.371553,1.51173,15.11,946.321,-217.378,-679.324,24.4627,0.0337002,5.76104,-0.00014999,-0.262224,2.76292,2.76292,946.321,-217.334,-679.335,24.4637,0.03364,5.75965,-0.000179476,-0.278579
88.038,1.341,13.4589,956.298,-230.468,-664.513,29.2104,0.0326317,5.26112,-6.92488e-05,-0.205724,1.52027,14.9772,956.854,-229.613,-667.985,25.4467,0.0342572,5.24076,-0.000175193,-0.259717,2.72526,2.72526,956.854,-229.67,-667.943,25.4613,0.0341742,5.24039,-0.000188553,-0.256312
89.9944,1.324,13.3086,965.87,-251.877,-647.61,28.9087,0.0352303,4.80825,-0.000200523,-0.28055,1.52167,15.2161,966.3,-246.348,-651.455,24.5456,0.0358048,4.7729,-0.000182022,-0.252741,2.75746,2.75746,966.3,-246.328,-651.451,24.5496,0.0356802,4.77596,-0.000198672,-0.241481
