corr-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,11.6584,76.3169,991.659,-414.912,-587.991,17.0317,0.0584389,3.32412,-0.000316797,-0.113376,6.77656,79.0489,991.659,-419.434,-587.126,15.0114,0.0582464,3.3288,-0.000294888,-0.127629,11.1152,11.1152,991.659,-418.505,-587.221,15.0351,0.0574969,3.34279,-0.00031263,-0.169458
0.312,6.64546,51.2848,991.897,-411.838,-585.232,18.2107,0.056434,3.33595,-0.000319774,-0.0802278,7.63969,59.3436,991.919,-412.131,-584.322,15.0847,0.056624,3.33151,-0.000345046,-0.12184,12.7704,12.7704,991.919,-411.987,-584.317,15.0996,0.0572057,3.28183,-0.000295882,-0.166081
0.324,4.51325,44.6634,992.051,-427.58,-591.242,16.1339,0.0597903,3.36188,-0.00018991,-0.134745,5.184,49.865,992.069,-425.249,-589.814,17.3248,0.059361,3.36152,-0.000219512,-0.147855,8.96637,8.96637,992.069,-425.554,-590.182,17.3398,0.0600497,3.41301,-0.000320813,-0.167618
0.336,4.46187,44.1715,992.247,-406.179,-582.231,20.4385,0.0552988,3.32412,-0.000275991,-0.243511,5.18335,51.8318,992.248,-406.423,-581.056,15.5589,0.0557419,3.32386,-0.000320759,-0.202523,8.24168,8.24168,992.248,-405.956,-580.992,15.598,0.0567753,3.32416,-0.00030774,-0.168223
0.348,4.46275,41.2006,992.289,-402.709,-592.404,23.3779,0.0563233,3.36266,-0.000296921,-0.18254,5.00877,47.7725,992.299,-406.762,-590.534,18.6969,0.0562529,3.37367,-0.000301944,-0.180439,8.41271,8.41271,992.299,-406.268,-590.405,18.7646,0.056602,3.42598,-0.000296655,-0.161781
0.36,4.10755,41.2669,992.225,-404.464,-578.561,12.8295,0.0546106,3.31072,-0.000233005,-0.244339,4.69694,47.3527,992.218,-401.309,-582.87,15.9558,0.0545685,3.31035,-0.000232276,-0.201175,8.41585,8.41585,992.218,-401.993,-582.505,15.9437,0.0541563,3.31209,-0.000291293,-0.162691
0.372,4.0333,41.3144,992.521,-397.26,-584.51,13.9152,0.0532235,3.28844,-0.000269537,-0.167969,4.75565,47.1845,992.523,-399.687,-581.805,17.4912,0.0533706,3.29847,-0.000249572,-0.15784,8.38635,8.38635,992.523,-398.954,-582.288,17.4899,0.0513351,3.31764,-0.000272666,-0.165425
0.384,4.09265,41.5527,993.155,-391.538,-574.893,13.7748,0.0539559,3.30857,-0.000136885,-0.101106,4.6158,47.0604,993.172,-391.905,-574.791,17.3342,0.0541448,3.31207,-0.000164942,-0.107047,8.40564,8.40564,993.172,-391.818,-574.687,17.2948,0.0546486,3.30349,-0.000289307,-0.172726
0.396,3.96184,40.804,993.213,-396.09,-575.153,15.6056,0.0531171,3.30763,-0.000354623,-0.166923,4.6329,46.9837,993.228,-391.518,-578.93,18.2876,0.0530643,3.31084,-0.000352302,-0.182844,8.40122,8.40122,993.228,-391.736,-578.847,18.2476,0.052729,3.31094,-0.000291607,-0.165539
0.408,4.03108,41.1643,993.429,-377.417,-571.217,19.7733,0.0504803,3.2864,-0.000145295,-0.129213,4.61353,46.926,993.45,-381.779,-572.038,18.0587,0.0507295,3.2828,-0.000187821,-0.15844,8.40932,8.40932,993.45,-381.476,-571.947,17.9992,0.0482593,3.26665,-0.000278281,-0.163624
0.42,4.05227,40.8199,993.639,-380.789,-570.003,15.4769,0.0509029,3.31417,-0.000412175,-0.183768,4.65696,47.2785,993.642,-377.919,-575.04,19.1611,0.0507929,3.30823,-0.000396964,-0.179467,8.40152,8.40152,993.642,-378.226,-574.605,19.1918,0.0509864,3.31954,-0.000267095,-0.166306
0.432,4.03888,41.2975,993.953,-372.089,-575.15,17.3832,0.0501337,3.29312,-0.00012903,-0.206578,4.64384,46.918,993.966,-373.875,-575.78,18.5229,0.0501067,3.29958,-0.000176766,-0.199085,8.40573,8.40573,993.966,-373.753,-575.778,18.4878,0.0518306,3.32558,-0.000277994,-0.160045
0.444,4.03953,40.9039,993.959,-368.261,-570.685,16.5783,0.049568,3.23981,-0.000297904,-0.174046,4.67471,47.6763,993.963,-368.523,-570.379,17.4651,0.0493758,3.23654,-0.000302756,-0.169063,8.38805,8.38805,993.963,-368.67,-570.298,17.4311,0.0493258,3.21309,-0.000263519,-0.161157
0.456,4.07168,41.3532,994.43,-373.45,-582.398,18.1211,0.0475426,3.2853,-0.000277391,-0.198058,4.75852,47.2766,994.427,-370.375,-575.586,19.1537,0.0477029,3.27774,-0.000241872,-0.18243,8.40737,8.40737,994.427,-370.468,-575.717,19.1496,0.0490561,3.28788,-0.000258098,-0.170515
0.468,4.10972,41.1148,994.9,-356.729,-577.498,18.0431,0.0469799,3.27488,-0.000155495,-0.211804,4.6884,47.6232,994.908,-358.321,-572.065,18.5151,0.0470949,3.27656,-0.000192279,-0.224579,8.53578,8.53578,994.908,-358.194,-572.171,18.4881,0.0474054,3.30348,-0.000268198,-0.167914
0.48,4.03889,40.9517,994.675,-358.704,-566.126,19.6082,0.0470959,3.27023,-0.000323158,-0.13314,4.67884,46.9757,994.686,-357.961,-567.141,19.6163,0.0470669,3.26962,-0.000287587,-0.156938,8.53426,8.53426,994.686,-357.737,-567.033,19.6183,0.0464046,3.25562,-0.000270394,-0.165238
0.492,4.05204,40.8988,995.084,-358.556,-564,18.7847,0.045146,3.24594,-0.000152194,-0.168547,4.62546,47.402,995.083,-352.771,-566.036,17.9559,0.0452079,3.23575,-0.000173271,-0.167046,8.54013,8.54013,995.083,-353.569,-565.549,17.937,0.0454059,3.1791,-0.00022669,-0.168475
0.504,4.03921,41.0434,995.299,-334.267,-568.973,15.0127,0.043584,3.25405,-0.000235438,-0.116333,4.70803,47.1125,995.308,-340.983,-566.689,20.5239,0.0435536,3.25419,-0.000250533,-0.12799,8.53203,8.53203,995.308,-339.918,-566.523,20.5622,0.0396156,3.24098,-0.000246953,-0.160112
0.516,4.05155,40.7041,994.755,-343.943,-567.868,22.5458,0.0438855,3.20724,-0.000178492,-0.0761534,4.55455,46.7606,994.773,-343.039,-566.432,19.6053,0.0439717,3.21432,-0.000190025,-0.104761,8.54281,8.54281,994.773,-342.749,-566.446,19.6525,0.0446794,3.20881,-0.000250023,-0.165272
0.528,3.85654,40.061,995.576,-344.78,-578.418,28.1291,0.0430863,3.21445,-0.000326785,-0.140282,4.56569,46.3413,995.562,-341.956,-569.645,20.3647,0.0430161,3.2243,-0.000227583,-0.142271,8.55009,8.55009,995.562,-341.985,-569.947,20.4185,0.0445387,3.24721,-0.000254749,-0.163884
0.54,3.95382,40.2709,995.728,-326.614,-568.804,23.058,0.0395722,3.24329,-0.000162771,-0.190073,4.41571,45.7468,995.739,-324.924,-567.855,23.8929,0.0398532,3.25001,-0.000187337,-0.20286,6.38105,6.38105,995.739,-324.736,-567.65,23.9361,0.0392904,3.28115,-0.000258062,-0.158972
0.552,2.65998,26.0399,995.839,-329.268,-561.322,19.4594,0.0414702,3.24404,-0.000261371,-0.208615,2.9453,30.1593,995.834,-328.502,-564.492,21.057,0.0411721,3.22959,-0.000228494,-0.191982,5.72664,5.72664,995.834,-329.053,-563.991,21.095,0.0405007,3.19482,-0.000225941,-0.163649
0.564,2.61457,25.8685,996.703,-320.6,-563.638,18.841,0.039346,3.2058,-0.0003755,-0.168239,2.93492,29.894,996.703,-318.458,-565.136,20.8871,0.0394956,3.20566,-0.000348328,-0.166623,5.73859,5.73859,996.703,-318.589,-565.141,20.8805,0.0386867,3.1947,-0.000218989,-0.170473
0.576,2.54058,25.4203,996.578,-309.131,-553.173,26.4496,0.0365102,3.18599,-0.000257896,-0.172028,2.85532,28.0592,996.585,-307.822,-558.492,21.2105,0.0368876,3.18621,-0.000211795,-0.168708,5.53562,5.53562,996.585,-307.839,-558.256,21.1576,0.0360296,3.17663,-0.000226077,-0.16601
0.588,2.3937,23.9616,997.03,-312.929,-560.69,26.0328,0.0377464,3.19848,-0.00020557,-0.179146,2.71388,27.385,997.035,-311.218,-560.342,22.7301,0.0376247,3.20158,-0.000212986,-0.165315,5.08839,5.08839,997.035,-311.721,-560.517,22.788,0.0378736,3.23292,-0.000242241,-0.169621
0.6,2.33384,23.3408,997.339,-306.643,-557.323,25.1423,0.0347795,3.21525,-0.000385481,-0.131504,2.63817,27.0319,997.35,-303.229,-562.157,22.2518,0.0350729,3.21327,-0.000339808,-0.152359,5.13066,5.13066,997.35,-304.207,-562.202,22.2403,0.036239,3.24353,-0.000229377,-0.164893
0.612,2.34398,23.3237,997.256,-300.278,-550.797,21.8732,0.0351585,3.20129,-0.000250191,-0.0815121,2.65267,27.0509,997.262,-298.265,-557.246,22.0159,0.035285,3.20396,-0.000231211,-0.109356,5.15469,5.15469,997.262,-298.626,-556.899,22.0272,0.0352456,3.17727,-0.000223837,-0.166124
0.624,2.34213,23.3493,997.824,-296.415,-562.243,22.1804,0.0318648,3.17895,-0.000167391,-0.225183,2.65665,27.0592,997.83,-292.922,-560.998,22.4958,0.0323462,3.18038,-0.000174134,-0.212336,5.16197,5.16197,997.83,-293.501,-561.262,22.4371,0.03231,3.19219,-0.000227285,-0.165055
0.636,2.33247,23.2528,997.868,-281.29,-567.922,25.9258,0.0322965,3.19622,-0.000279359,-0.140446,2.63905,26.928,997.87,-283.991,-561.26,25.3352,0.0322289,3.19489,-0.000237686,-0.150911,5.13167,5.13167,997.87,-283.53,-561.568,25.4042,0.0321269,3.22765,-0.000219987,-0.164362
0.648,2.31182,23.0629,998.29,-270.8,-565.395,20.2104,0.0309586,3.19683,-0.000141598,-0.200294,2.62183,26.8989,998.294,-275.672,-562.596,23.2933,0.0310563,3.1996,-0.000129201,-0.186972,5.03638,5.03638,998.294,-275.139,-562.71,23.262,0.0297685,3.26975,-0.000206341,-0.162012
0.66,2.31672,23.0731,998.237,-287.394,-561.106,22.1822,0.0307832,3.18936,-0.000232202,-0.0807397,2.6177,26.8405,998.256,-281.36,-559.586,24.0536,0.0309505,3.19313,-0.000215504,-0.122891,5.00134,5.00134,998.256,-281.994,-559.518,24.0661,0.0317624,3.16165,-0.000215765,-0.172285
0.672,2.31946,23.1913,998.774,-268.71,-571.829,29.6002,0.0285364,3.17171,-0.000162598,-0.160448,2.63561,26.9851,998.798,-266.279,-563.02,25.5087,0.0284581,3.17686,-0.000188785,-0.17077,5.00706,5.00706,998.798,-267.306,-563.851,25.5259,0.0269653,3.22258,-0.000202324,-0.165911
0.684,2.31426,23.0478,999.197,-266.205,-557.266,19.5108,0.0282684,3.156,-0.000147607,-0.177736,2.63209,28.6644,999.207,-263.29,-555.841,21.3737,0.0281862,3.15308,-0.000148732,-0.18876,5.59582,5.59582,999.207,-262.841,-555.637,21.3265,0.0295327,3.13913,-0.00021103,-0.169799
0.696,2.53689,25.3971,999.316,-252.94,-557.254,21.0947,0.0258328,3.20246,-0.000237264,-0.130549,2.8762,28.7933,999.323,-250.49,-556.147,24.1442,0.0259663,3.19428,-0.000188939,-0.142297,5.59456,5.59456,999.323,-250.475,-555.743,24.1374,0.0258928,3.1931,-0.000182752,-0.169165
0.708,2.53638,25.3239,999.434,-236.468,-554.372,32.1146,0.0257449,3.18824,-4.98985e-05,-0.196171,2.87597,28.7801,999.44,-241.994,-558.975,25.9841,0.0255167,3.18395,-7.61609e-05,-0.159289,5.58684,5.58684,999.44,-241.18,-558.849,26.0841,0.0236669,3.18279,-0.000194808,-0.162899
0.72,2.5362,25.3919,1000.03,-231.083,-560.215,18.9294,0.0232117,3.14514,-0.00018682,-0.209753,2.87571,28.7877,1000.04,-234.854,-561.179,23.4057,0.0231095,3.14789,-0.000148452,-0.208598,5.58897,5.58897,1000.04,-233.774,-561.203,23.336,0.0225684,3.17513,-0.000161649,-0.174065
0.732,2.54722,25.3967,1000.5,-227.987,-548.46,23.6835,0.022188,3.14253,-0.000202319,-0.214139,2.87623,28.7626,1000.49,-228.277,-553.362,24.2676,0.0220127,3.14949,-0.000206215,-0.193703,5.57329,5.57329,1000.49,-227.876,-553.099,24.3029,0.023201,3.13825,-0.0001723,-0.162639
0.744,2.54726,25.3941,1000.32,-221.43,-555.729,26.483,0.0200507,3.17023,-0.000140052,-0.187177,2.87569,28.786,1000.33,-218.578,-557.113,25.6642,0.0204104,3.16949,-0.00019603,-0.196539,5.58862,5.58862,1000.33,-219.311,-556.944,25.76,0.0202872,3.18244,-0.000169938,-0.161937
0.756,2.54681,25.3803,1000.72,-211.713,-557.167,26.4108,0.0201358,3.1836,-0.000189234,-0.178131,2.88618,28.7867,1000.72,-213.019,-560.405,25.9561,0.0200982,3.186,-0.000175884,-0.187915,5.58784,5.58784,1000.72,-212.83,-560.178,25.896,0.0193849,3.18706,-0.000165165,-0.171188
0.768,2.53612,25.3903,1001.06,-198.872,-551.822,21.9882,0.0169947,3.19448,-0.000155366,-0.228562,2.88676,28.7841,1001.06,-199.903,-555.615,21.8052,0.0169912,3.19022,-0.00016861,-0.224368,5.59026,5.59026,1001.06,-199.221,-555.678,21.712,0.0153894,3.15739,-0.000152265,-0.176153
