vol2-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.15,12.1121,73.4569,1070.38,-572.084,-278.416,-10.8808,0.0615328,-0.967157,-0.00030042,-0.0280737,6.94635,66.2392,1070.38,-572.084,-278.416,-10.8808,0.0615328,-0.967157,-0.00030042,-0.0280737,9.00926,9.00926,1070.38,-158.023,-54.478,2.65909,0.0272997,0.171437,-0.000108871,-0.026281
0.156,5.54577,58.1617,1068.72,-565.775,-311.757,-3.21571,0.0589258,-0.697834,-0.000404277,0.01879,5.76946,57.5233,1068.72,-565.775,-311.757,-3.21571,0.0589258,-0.697834,-0.000404277,0.01879,9.76354,9.76354,1068.72,-154.998,-63.808,3.06442,0.0267551,0.205392,-0.000107968,-0.0295128
0.162,5.29177,48.9602,1066.63,-572.28,-330.261,-3.18959,0.0603783,-0.475301,-0.000245248,0.00335473,4.39038,43.9224,1066.63,-572.28,-330.261,-3.18959,0.0603783,-0.475301,-0.000245248,0.00335473,7.49894,7.49894,1066.63,-152.996,-73.2974,3.4986,0.0263817,0.241261,-0.000107715,-0.03203
0.168,4.25052,42.4153,1064.52,-536.188,-359.974,0.540403,0.0541524,-0.184174,-0.000266302,-0.072705,4.25241,43.9634,1064.52,-536.188,-359.974,0.540403,0.0541524,-0.184174,-0.000266302,-0.072705,7.49781,7.49781,1064.52,-150.074,-82.901,3.91893,0.0258542,0.278344,-0.000106044,-0.0348143
0.174,4.2957,42.5095,1062.06,-520.173,-377.612,-0.740477,0.0546259,0.00806882,-0.000353673,-0.0680813,4.18154,43.4389,1062.06,-520.173,-377.612,-0.740477,0.0546259,0.00806882,-0.000353673,-0.0680813,7.55965,7.55965,1062.06,-147.915,-92.3114,4.27185,0.0254458,0.315928,-0.000105973,-0.0372874
0.18,5.82624,40.9498,1059.65,-523.314,-417.489,3.23013,0.0522853,0.325941,-0.000325481,-0.0633394,4.13893,41.3737,1059.65,-523.314,-417.489,3.23013,0.0522853,0.325941,-0.000325481,-0.0633394,7.43078,7.43078,1059.65,-144.625,-102.268,4.60568,0.0248518,0.356142,-0.000103541,-0.0397114
0.186,4.13033,40.5904,1056.97,-506.401,-425.991,4.9545,0.0504483,0.47298,-0.000209993,-0.131924,4.15034,40.9317,1056.97,-506.401,-425.991,4.9545,0.0504483,0.47298,-0.000209993,-0.131924,7.44289,7.44289,1056.97,-140.932,-112.287,4.97333,0.0242017,0.397773,-0.000103017,-0.0415009
0.192,4.06393,40.2912,1054.69,-491.359,-454.579,2.3499,0.0494308,0.732854,-6.32469e-05,-0.146953,3.91731,41.4363,1054.69,-491.359,-454.579,2.3499,0.0494308,0.732854,-6.32469e-05,-0.146953,7.54154,7.54154,1054.69,-136.668,-120.888,5.25033,0.0234855,0.435226,-0.000101036,-0.0435881
0.198,4.12158,38.1914,1051.75,-484.403,-459.724,8.47008,0.0483495,0.925959,-0.000315375,-0.103719,2.77523,27.9383,1051.75,-484.403,-459.724,8.47008,0.0483495,0.925959,-0.000315375,-0.103719,4.99135,4.99135,1051.75,-135.084,-129.122,5.472,0.0231932,0.471867,-0.000100798,-0.0449623
0.204,2.69194,27.508,1048.99,-460.885,-474.914,1.05512,0.0450507,1.12624,-0.000176973,-0.0768589,2.7565,27.5517,1048.99,-460.885,-474.914,1.05512,0.0450507,1.12624,-0.000176973,-0.0768589,4.9882,4.9882,1048.99,-130.464,-138.788,5.77263,0.0223895,0.515105,-9.8873e-05,-0.0466338
