vol2-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.15,9.70823,64.8121,1070.38,-572.084,-278.416,-10.8808,0.0615328,-0.967157,-0.00030042,-0.0280737,5.92385,82.9364,1068.48,-548.31,-262.334,-5.28302,0.0606211,-0.76505,-0.000328061,-0.0135242,13.6324,13.6324,1068.48,-548.293,-262.372,-5.28283,0.0604667,-0.768521,-0.000340927,-0.0316642
0.156,4.50772,48.0188,1068.72,-565.775,-311.757,-3.21571,0.0589258,-0.697834,-0.000404277,0.01879,5.27104,52.2454,1066.92,-536.613,-292.81,-3.37753,0.0586632,-0.525136,-0.000327308,-0.0351188,9.65253,9.65253,1066.92,-536.591,-292.856,-3.37763,0.058535,-0.528837,-0.000340174,-0.0502878
0.162,4.84373,43.7883,1066.63,-572.28,-330.261,-3.18959,0.0603783,-0.475301,-0.000245248,0.00335473,5.08852,50.3679,1065.01,-529.728,-318.494,-1.44479,0.0585663,-0.305915,-0.000323909,-0.0520994,8.2569,8.2569,1065.01,-529.72,-318.52,-1.44505,0.0584384,-0.309463,-0.000337842,-0.0681656
0.168,4.14291,42.8904,1064.52,-536.188,-359.974,0.540403,0.0541524,-0.184174,-0.000266302,-0.072705,5.04383,50.2566,1063,-513.74,-344.454,1.08072,0.0557637,-0.0582763,-0.000316508,-0.0746376,8.29197,8.29197,1063,-513.722,-344.499,1.08076,0.0555919,-0.0610446,-0.00033104,-0.0838
0.174,4.14466,42.6995,1062.06,-520.173,-377.612,-0.740477,0.0546259,0.00806882,-0.000353673,-0.0680813,5.014,48.7171,1060.67,-505.767,-367.956,2.61426,0.0551472,0.148641,-0.000309055,-0.0881713,8.23611,8.23611,1060.67,-505.807,-367.929,2.61412,0.0550355,0.144793,-0.000323513,-0.0975404
0.18,3.99632,40.6793,1059.65,-523.314,-417.489,3.23013,0.0522853,0.325941,-0.000325481,-0.0633394,4.791,47.0282,1058.42,-489.598,-391.846,4.46803,0.0526394,0.379016,-0.000305082,-0.102337,8.23849,8.23849,1058.42,-489.571,-391.895,4.46779,0.0525102,0.375885,-0.000319645,-0.110453
0.186,3.96356,40.0862,1056.97,-506.401,-425.991,4.9545,0.0504483,0.47298,-0.000209993,-0.131924,4.8666,47.5428,1055.91,-478.44,-410.489,6.04998,0.051376,0.569104,-0.000297318,-0.106506,8.21993,8.21993,1055.91,-478.449,-410.498,6.05198,0.0512295,0.566044,-0.000313951,-0.117774
0.192,3.95879,40.842,1054.69,-491.359,-454.579,2.3499,0.0494308,0.732854,-6.32469e-05,-0.146953,4.7948,46.8429,1053.75,-464.725,-428.395,7.82599,0.0498886,0.778902,-0.000294328,-0.122225,8.22644,8.22644,1053.75,-464.728,-428.409,7.82666,0.0497701,0.776205,-0.000307772,-0.128618
0.198,3.94143,39.9216,1051.75,-484.403,-459.724,8.47008,0.0483495,0.925959,-0.000315375,-0.103719,4.73181,47.0665,1050.88,-457.273,-443.31,8.98762,0.0492846,0.962162,-0.000296497,-0.129508,8.22524,8.22524,1050.88,-457.295,-443.302,8.98709,0.0491728,0.959165,-0.000305872,-0.137002
0.204,3.89228,40.3448,1048.99,-460.885,-474.914,1.05512,0.0450507,1.12624,-0.000176973,-0.0768589,4.77138,46.7536,1048.33,-442.984,-459.703,10.8175,0.0473214,1.15749,-0.000293684,-0.134758,8.22349,8.22349,1048.33,-442.916,-459.781,10.816,0.0471572,1.15556,-0.000303343,-0.143071
0.21,3.96657,40.1972,1046.31,-449.836,-500.589,17.809,0.0440607,1.32697,-0.000377555,-0.189733,4.70895,47.0641,1045.68,-428.998,-474.32,11.7699,0.045864,1.34145,-0.000280005,-0.143065,8.22761,8.22761,1045.68,-429.011,-474.319,11.7713,0.0457379,1.33908,-0.000296574,-0.150252
0.216,3.89105,40.1971,1043.17,-438.167,-511.304,7.59012,0.0437275,1.52734,-0.000162032,-0.186469,4.83542,46.9855,1042.78,-417.959,-485.537,12.7452,0.0448603,1.50476,-0.000278929,-0.145608,8.21829,8.21829,1042.78,-417.989,-485.524,12.7461,0.0447541,1.50235,-0.000294302,-0.154108
0.222,3.96432,40.2298,1039.9,-423.988,-516.387,15.2633,0.0426519,1.68261,-0.000277636,-0.196173,4.74061,47.1703,1039.58,-408.499,-496.363,14.2601,0.0441773,1.67005,-0.000274299,-0.153401,8.23017,8.23017,1039.58,-408.517,-496.36,14.2612,0.0440526,1.66773,-0.000286396,-0.157203
