vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,price_time,risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_price_time,smooth_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_price_time,aadc_risk_time
0.1, 1012.34, 2.14738, -632.398, -17.5588, 2.33522, 14.0382, 1012.37, 3.45139, -630.813, -19.1023, 2.8672, 17.209, 1012.37, 3.46365, -630.798, -19.1013, 1.15802, 1.15802
0.11, 1012.26, -22.0755, -631.864, -16.5262, 2.33852, 14.0279, 1012.3, -19.4419, -630.252, -17.541, 2.86239, 17.18, 1012.3, -19.4468, -630.236, -17.5393, 1.18267, 1.18267
0.12, 1011.91, -52.6215, -629.738, -13.7659, 2.3393, 14.0522, 1011.96, -49.6491, -628.315, -15.159, 2.87053, 17.2404, 1011.96, -49.6626, -628.302, -15.1585, 1.19257, 1.19257
0.13, 1011.25, -85.5714, -626.115, -10.4418, 2.33996, 14.0533, 1011.31, -79.8649, -624.717, -11.9087, 2.86864, 17.2148, 1011.31, -79.8972, -624.701, -11.9073, 1.19931, 1.19931
0.14, 1010.27, -119.73, -620.901, -6.1558, 2.34133, 14.0587, 1010.33, -118.948, -619.201, -7.78891, 2.86827, 17.2262, 1010.33, -118.981, -619.187, -7.78785, 1.19882, 1.19882
0.15, 1008.89, -158.734, -613.645, -1.60109, 2.35483, 14.0532, 1008.97, -152.068, -611.716, -2.90812, 2.88403, 17.218, 1008.97, -152.078, -611.7, -2.9066, 1.20198, 1.20198
0.16, 1007.18, -192.224, -606.386, 2.53157, 2.34849, 14.0907, 1007.28, -188.381, -603.249, 2.02274, 2.88145, 17.2703, 1007.28, -188.408, -603.233, 2.0242, 1.17331, 1.17331
0.17, 1005.1, -213.395, -598.352, 8.545, 2.3504, 14.1135, 1005.23, -219.889, -593.913, 6.95389, 2.87172, 17.268, 1005.23, -219.855, -593.904, 6.95468, 1.16998, 1.16998
0.18, 1002.74, -254.751, -587.258, 13.0574, 2.34861, 14.0844, 1002.88, -250.607, -583.894, 11.7721, 2.86674, 17.2336, 1002.88, -250.621, -583.883, 11.773, 1.20461, 1.20461
0.19, 1000.05, -277.118, -575.863, 18.1767, 2.35277, 14.1362, 1000.24, -275.017, -572.665, 16.6831, 2.87415, 17.2823, 1000.24, -275.008, -572.656, 16.6839, 1.2045, 1.2045
0.2, 997.188, -295.652, -565.084, 22.6023, 2.3586, 14.1562, 997.378, -297.637, -560.612, 21.5074, 2.87699, 17.2747, 997.378, -297.635, -560.604, 21.5082, 1.20307, 1.20307
0.21, 994.089, -323.141, -550.49, 27.8251, 2.36003, 14.1685, 994.291, -320.146, -547.675, 26.2624, 2.87639, 17.2747, 994.291, -320.14, -547.668, 26.2631, 1.22192, 1.22192
0.22, 990.743, -343.45, -537.746, 31.9858, 2.35806, 14.1585, 990.972, -342.033, -534.284, 30.7646, 2.89209, 17.3502, 990.972, -342.031, -534.278, 30.7653, 1.20685, 1.20685
0.23, 987.209, -358.965, -523.891, 35.2276, 2.36045, 14.1839, 987.468, -357.656, -520.513, 35.0382, 2.88086, 17.277, 987.468, -357.659, -520.501, 35.039, 1.20568, 1.20568
0.24, 983.563, -382.396, -509.199, 39.3632, 2.36264, 14.1835, 983.824, -371.479, -507.128, 38.9006, 2.87817, 17.2759, 983.824, -371.492, -507.12, 38.9014, 1.20716, 1.20716
0.25, 979.788, -384.504, -494.553, 42.8243, 2.36599, 14.2112, 980.053, -382.75, -493.797, 42.4887, 2.88035, 17.8773, 980.053, -382.721, -493.79, 42.4895, 1.19646, 1.19646
0.26, 975.866, -401.133, -482.172, 45.6107, 2.39317, 14.2506, 976.147, -397.533, -480.336, 45.8286, 2.88995, 17.2712, 976.147, -397.534, -480.329, 45.8293, 1.20301, 1.20301
0.27, 971.788, -408.115, -468.265, 48.3942, 2.3735, 14.1826, 972.119, -406.811, -466.955, 48.8812, 2.88252, 17.2943, 972.119, -406.811, -466.947, 48.8819, 1.2087, 1.2087
