vol1-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.1,6.56749,53.1733,1012.14,1.48881,-636.854,-12.385,-0.0852426,3.55764,0.000638989,-0.134749,6.67514,45.4904,1012.14,1.48881,-636.854,-12.385,-0.0852426,3.55764,0.000638989,-0.134749,6.27242,6.27242,1012.14,-1.43344,-251.724,-4.11731,0.000160411,1.10423,-3.31164e-06,-0.0527985
0.104,3.59575,44.5386,1012.01,-9.05088,-634.515,-18.4645,-0.0790782,3.56513,0.000728926,-0.0931652,4.57973,29.5353,1012.01,-9.05088,-634.515,-18.4645,-0.0790782,3.56513,0.000728926,-0.0931652,3.57887,3.57887,1012.01,-2.28342,-251.692,-4.18237,0.000264858,1.10321,-4.59941e-06,-0.0529965
0.108,3.75934,42.0519,1012.62,-19.0035,-654.266,-25.0059,-0.0710239,3.50787,0.00048556,-0.0982865,2.17779,31.6958,1012.62,-19.0035,-654.266,-25.0059,-0.0710239,3.50787,0.00048556,-0.0982865,5.57048,5.57048,1012.62,-2.99968,-250.833,-4.30052,0.00035666,1.10071,-6.20023e-06,-0.0532235
0.112,2.18679,23.4573,1012.22,-16.1714,-627.722,-11.3659,-0.0698545,3.64844,0.000501055,-0.14359,2.22947,21.6347,1012.22,-16.1714,-627.722,-11.3659,-0.0698545,3.64844,0.000501055,-0.14359,3.58541,3.58541,1012.22,-4.19699,-251.644,-4.18961,0.000516028,1.10443,-7.87266e-06,-0.0536056
0.116,2.82711,21.3328,1012.06,-33.9039,-609.679,-8.35665,-0.0669175,3.57809,0.000178187,-0.244638,2.15237,24.0172,1012.06,-33.9039,-609.679,-8.35665,-0.0669175,3.57809,0.000178187,-0.244638,3.52739,3.52739,1012.06,-5.74246,-251.573,-4.23659,0.000720278,1.10234,-1.01433e-05,-0.0527951
0.12,2.15306,21.3087,1011.65,-46.121,-646.307,-25.9543,-0.0626248,3.64723,0.000312153,-0.277678,2.16206,21.4095,1011.65,-46.121,-646.307,-25.9543,-0.0626248,3.64723,0.000312153,-0.277678,3.75671,3.75671,1011.65,-7.34517,-252.033,-3.88681,0.000951083,1.10495,-1.27212e-05,-0.0531672
0.124,2.15205,21.2528,1011.56,-63.7273,-626.091,-14.7303,-0.0604188,3.53732,0.000397195,-0.15824,2.10949,21.2585,1011.56,-63.7273,-626.091,-14.7303,-0.0604188,3.53732,0.000397195,-0.15824,3.76733,3.76733,1011.56,-9.38356,-251.199,-3.87018,0.00123527,1.10008,-1.47466e-05,-0.0531615
0.128,2.11152,21.2368,1011.14,-76.5394,-631.683,-4.00654,-0.0524995,3.53141,0.000147035,-0.174301,2.16631,21.3863,1011.14,-76.5394,-631.683,-4.00654,-0.0524995,3.53141,0.000147035,-0.174301,3.07904,3.07904,1011.14,-11.3817,-251.362,-3.52297,0.00153279,1.09927,-1.71017e-05,-0.0532841
0.132,2.1451,21.2002,1010.98,-96.8936,-608.427,-9.00693,-0.0495361,3.55316,8.64911e-05,-0.0639256,2.15997,21.3102,1010.98,-96.8936,-608.427,-9.00693,-0.0495361,3.55316,8.64911e-05,-0.0639256,3.62177,3.62177,1010.98,-14.2489,-251.092,-3.28236,0.00195821,1.09982,-2.05036e-05,-0.0531913
0.136,2.1421,20.9788,1010.66,-98.5908,-624.942,-6.52548,-0.0433492,3.56796,0.000261801,-0.134438,1.39494,17.278,1010.66,-98.5908,-624.942,-6.52548,-0.0433492,3.56796,0.000261801,-0.134438,3.76915,3.76915,1010.66,-17.0429,-250.664,-3.11246,0.00239028,1.09825,-2.36161e-05,-0.0529382
0.14,1.92202,19.2696,1010.31,-116.386,-628.254,-11.5266,-0.0381352,3.58153,8.61678e-05,-0.161057,1.95045,20.2978,1010.31,-116.386,-628.254,-11.5266,-0.0381352,3.58153,8.61678e-05,-0.161057,3.76719,3.76719,1010.31,-19.7956,-249.944,-2.35373,0.00282734,1.09467,-2.60197e-05,-0.0534302
0.144,2.05556,20.5086,1009.71,-134.613,-621.082,1.00507,-0.0347733,3.52139,-2.7229e-05,-0.0693775,2.04524,20.1661,1009.71,-134.613,-621.082,1.00507,-0.0347733,3.52139,-2.7229e-05,-0.0693775,3.75758,3.75758,1009.71,-22.0884,-250.512,-2.4026,0.00319758,1.09733,-2.85865e-05,-0.0531104
0.148,1.95374,19.5343,1008.71,-140.432,-613.849,-3.53198,-0.0290392,3.55147,2.74214e-05,-0.0516729,1.98496,20.3803,1008.71,-140.432,-613.849,-3.53198,-0.0290392,3.55147,2.74214e-05,-0.0516729,3.76599,3.76599,1008.71,-26.2891,-250.422,-2.04554,0.00386971,1.09508,-3.22886e-05,-0.0535647
0.152,2.02839,20.1934,1009.18,-160.338,-615.707,5.27943,-0.0213515,3.46176,0.000298161,-0.0940709,2.02403,20.3713,1009.18,-160.338,-615.707,5.27943,-0.0213515,3.46176,0.000298161,-0.0940709,3.77205,3.77205,1009.18,-29.4776,-247.668,-1.59703,0.00442853,1.08303,-3.57775e-05,-0.0530473
