vol2-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.15,1.22889,10.3275,1070.44,-627.743,-257.047,-8.96395,0.0630795,-0.939312,-0.00028878,-0.209213,1.20393,12.2704,1068.47,-551.422,-260.387,-4.97806,0.0610225,-0.751987,-0.000324839,-0.0135891,1.37318,1.37318,1068.47,-551.496,-260.281,-4.97812,0.0608975,-0.755631,-0.000345049,-0.0318741
0.156,1.04031,8.95267,1068.8,-565.401,-323.57,-3.62851,0.0572137,-0.718914,-0.000643699,-0.061611,1.04397,9.78799,1066.89,-533.408,-294.963,-3.56527,0.0577175,-0.519708,-0.00033124,-0.0437427,2.56141,2.56141,1066.89,-533.283,-295.096,-3.56577,0.0576085,-0.524687,-0.000337469,-0.0546275
0.162,0.472455,6.45139,1065.74,-578.802,-355.276,-13.9532,0.0619959,-0.361467,-0.000522372,-0.181673,0.621371,6.9664,1064.02,-535.59,-330.027,-0.252204,0.0597949,-0.240307,-0.000331344,-0.0532938,1.58182,1.58182,1064.02,-535.693,-329.912,-0.251958,0.0596952,-0.243811,-0.000341141,-0.0694981
0.168,0.418801,4.61894,1064.33,-554.846,-355.489,3.31991,0.0547267,-0.328151,0.000197256,-0.176204,0.643383,5.40097,1062.96,-519.145,-337.248,0.310117,0.0579624,-0.104273,-0.000313723,-0.0703443,0.935201,0.935201,1062.96,-519.247,-337.131,0.309876,0.0579238,-0.109968,-0.000331517,-0.0828355
0.174,0.481338,4.7092,1062.56,-506.876,-388.91,-0.762777,0.0542889,-0.0133963,-0.00041358,-0.0882542,0.493804,5.94067,1061.14,-506.729,-368.074,2.56833,0.0550107,0.139102,-0.000298922,-0.0863147,0.885901,0.885901,1061.14,-506.891,-367.92,2.5667,0.0549351,0.135215,-0.000322619,-0.0980037
0.18,0.921577,5.81695,1059.03,-557.42,-412.617,1.56479,0.0458728,0.322062,-0.000163311,-0.174504,0.372587,4.77937,1057.88,-489.633,-391.154,4.48976,0.0522096,0.385892,-0.000299559,-0.0979896,0.948166,0.948166,1057.88,-489.572,-391.228,4.48918,0.0520457,0.383002,-0.000314501,-0.112241
0.186,0.672437,4.45559,1056.28,-508.285,-435.609,6.16524,0.0496636,0.412696,-0.00022257,0.0768508,0.487407,5.38974,1055.3,-480.167,-406.997,5.80534,0.0515707,0.55451,-0.000294083,-0.0988495,0.970493,0.970493,1055.3,-480.099,-407.069,5.8063,0.0514548,0.550621,-0.000308758,-0.114623
0.192,0.935136,4.56339,1055.16,-492.708,-465.548,-2.20444,0.0537329,0.715539,-0.000716751,0.000501937,0.575194,8.07009,1054.32,-465.564,-421.841,7.73909,0.0502712,0.766222,-0.000307624,-0.122206,1.23235,1.23235,1054.32,-465.675,-421.742,7.74101,0.0503131,0.761642,-0.000312134,-0.133269
0.198,0.547493,6.04212,1052.09,-479.033,-454.467,5.89063,0.0464989,0.920103,-0.000484504,-0.184054,0.690965,5.62275,1051.17,-457.465,-441.203,8.8083,0.0499609,0.970979,-0.000295844,-0.133654,1.43591,1.43591,1051.17,-457.53,-441.163,8.80032,0.0498797,0.967614,-0.000308058,-0.140939
0.204,0.784286,5.65035,1049.14,-425.629,-421.937,-7.63919,0.0474446,1.17378,-1.46647e-05,-0.034275,0.816819,6.43226,1048.62,-446.91,-458.803,11.1159,0.048315,1.15782,-0.000289034,-0.129502,0.849287,0.849287,1048.62,-446.858,-458.861,11.1213,0.0482364,1.15476,-0.000300332,-0.13812
0.21,0.453728,4.433,1046.48,-455.764,-508.617,36.6165,0.0436225,1.33286,-0.000564843,-0.0538109,0.513008,10.1681,1045.88,-431.351,-480.713,12.6132,0.0463092,1.37269,-0.000280201,-0.141475,1.44789,1.44789,1045.88,-431.237,-480.832,12.6077,0.0461484,1.37093,-0.000301239,-0.152108
0.216,0.919816,8.34851,1042.89,-458.373,-499.234,4.15891,0.0413128,1.49504,-0.000195429,-0.340335,0.95379,6.77144,1042.55,-421.127,-488.827,12.9657,0.0447777,1.51351,-0.000275025,-0.136151,0.841646,0.841646,1042.55,-421.203,-488.767,12.9681,0.0446357,1.51128,-0.00030151,-0.150231
0.222,0.420134,4.22385,1039.56,-439.507,-495.779,12.8793,0.0426153,1.63666,-0.000364523,-0.287328,0.608988,7.25822,1039.12,-416.59,-493.902,13.785,0.0457385,1.64443,-0.000268531,-0.161296,1.28858,1.28858,1039.12,-416.588,-493.922,13.7827,0.0456193,1.64163,-0.000280833,-0.157867
0.228,0.670864,4.73515,1036.9,-465.25,-555.688,33.9945,0.0459192,1.83919,-0.000369192,-0.286628,0.483595,8.01138,1036.82,-399.793,-502.959,14.3943,0.0449898,1.79744,-0.000243256,-0.160218,0.926665,0.926665,1036.82,-399.97,-502.825,14.3985,0.044973,1.79391,-0.000268752,-0.16252
0.234,0.701591,5.47253,1033.66,-382.492,-545.273,18.6071,0.0360149,2.04753,-0.000179058,-0.108216,0.527146,5.95425,1033.55,-383.064,-516.047,15.6645,0.0408265,1.99525,-0.000254023,-0.171674,1.72501,1.72501,1033.55,-382.944,-516.153,15.6628,0.0406224,1.99431,-0.000271553,-0.167896
0.24,0.510394,8.36282,1030.52,-380.521,-558.605,9.73872,0.0383953,2.08552,-0.000736362,-0.0603833,0.972838,6.27999,1030.53,-376.437,-517.593,16.4303,0.0408907,2.07692,-0.000259014,-0.16264,0.85003,0.85003,1030.53,-376.476,-517.577,16.435,0.040827,2.07259,-0.000268775,-0.163513
0.246,0.900713,6.95247,1027.01,-416.43,-574.508,25.7101,0.0397551,2.32728,-0.000320412,-0.440619,0.517072,6.06639,1026.97,-367.265,-534.395,17.3543,0.0424161,2.27882,-0.000261348,-0.176367,0.820881,0.820881,1026.97,-367.146,-534.496,17.3554,0.0423007,2.27753,-0.000263863,-0.171835
0.252,0.966136,5.86019,1023.2,-365.428,-570.533,35.9669,0.0357765,2.3492,0.000169303,-0.054907,0.500133,7.79939,1023.63,-349.338,-532.417,19.3507,0.0396116,2.34486,-0.000236968,-0.165285,1.39881,1.39881,1023.63,-349.398,-532.363,19.3608,0.0394901,2.34194,-0.00026025,-0.168906
0.258,0.67752,7.3064,1021.11,-376.166,-539.882,32.7654,0.0386794,2.52743,0.0001354,-0.115039,0.872285,9.36561,1021.54,-349.78,-533.339,16.6537,0.0410642,2.46126,-0.000250242,-0.164728,0.838172,0.838172,1021.54,-349.833,-533.311,16.6463,0.0409588,2.45943,-0.000262722,-0.170899
0.264,0.464291,4.43894,1017.44,-378.251,-553.94,25.3464,0.0395487,2.57366,-0.00013727,-0.401803,0.505903,5.23308,1017.79,-337.726,-537.255,17.934,0.0402239,2.57944,-0.000238011,-0.17374,0.786478,0.786478,1017.79,-337.635,-537.342,17.925,0.0401389,2.57656,-0.000246596,-0.166508
0.27,0.449532,4.26325,1013.87,-305.258,-589.527,56.6559,0.0322175,2.79147,-3.67737e-05,-0.033951,0.493917,5.11921,1014.45,-329.506,-543.42,20.831,0.0393495,2.7287,-0.000239375,-0.176372,0.827395,0.827395,1014.45,-329.485,-543.415,20.8276,0.0392642,2.72737,-0.000239222,-0.171862
0.276,0.424516,4.66422,1010.98,-387.326,-582.08,29.078,0.0403667,2.99389,-0.000116364,-0.106036,0.852781,5.7497,1011.54,-318.841,-548.682,20.9908,0.0398509,2.84718,-0.000250389,-0.183267,0.867992,0.867992,1011.54,-318.754,-548.748,20.9852,0.0398149,2.84619,-0.000250133,-0.172497
0.282,0.419913,4.43683,1008.42,-336.965,-532.049,15.1342,0.0354336,2.93183,-0.000548811,-0.124592,0.486374,4.95849,1009.01,-309.113,-543.418,21.2179,0.0382969,2.84732,-0.000234346,-0.168194,0.826542,0.826542,1009.01,-309.24,-543.322,21.2243,0.0382478,2.84548,-0.000251314,-0.168104
0.288,0.420826,4.20793,1004.01,-325.425,-577.432,26.0016,0.0352827,3.11403,-0.000719551,0.0450134,0.486368,4.98164,1004.85,-307.262,-550.23,18.8906,0.0391901,2.98492,-0.000221113,-0.165399,0.841807,0.841807,1004.85,-307.177,-550.294,18.8775,0.0389501,2.98682,-0.000233231,-0.1643
0.294,0.422871,4.17466,1000.26,-298.73,-567.942,29.7248,0.0345636,3.22698,-8.84056e-05,-0.0959534,0.489047,4.935,1001.21,-295.774,-553.92,22.5497,0.0402005,3.08454,-0.00022591,-0.169988,0.827931,0.827931,1001.21,-295.79,-553.901,22.5568,0.0401277,3.0833,-0.000228049,-0.170291
0.3,0.421025,4.19431,997.505,-298.274,-564.275,31.8601,0.0335096,3.23448,-0.00055374,-0.200914,0.486543,4.91891,998.436,-287.718,-550.607,21.6684,0.0390848,3.12932,-0.000227236,-0.161979,0.830216,0.830216,998.436,-287.664,-550.634,21.6719,0.0388665,3.13015,-0.000225745,-0.165965
0.306,0.418328,4.16632,992.632,-281.285,-559.805,22.6937,0.0328738,3.26124,5.68112e-05,-0.0252266,0.487012,5.08404,993.796,-282.506,-553.854,22.111,0.0391882,3.20292,-0.000228767,-0.159131,0.970572,0.970572,993.796,-282.587,-553.796,22.1183,0.0390688,3.20148,-0.000226699,-0.157566
0.312,0.440802,4.08718,990.786,-316.035,-554.487,40.5651,0.039815,3.24929,-0.000255153,-0.141315,0.487093,4.12502,991.886,-275.408,-548.83,21.4741,0.0389829,3.2359,-0.000221898,-0.161929,0.842565,0.842565,991.886,-275.336,-548.874,21.4619,0.0388862,3.23492,-0.000229977,-0.164424
0.318,0.314001,3.03814,985.818,-272.456,-553.669,16.0508,0.0331995,3.60371,-0.000365978,-0.132413,0.32514,4.83205,986.96,-264.652,-560.632,22.8687,0.0388736,3.42156,-0.000187677,-0.161927,0.831735,0.831735,986.96,-264.587,-560.644,22.8706,0.0386756,3.42278,-0.000217299,-0.159588
0.324,0.421475,4.21975,984.592,-256.961,-551.784,13.9258,0.0342482,3.51984,0.000228886,-0.380524,0.484323,4.98482,985.738,-258.76,-551.442,23.039,0.0380971,3.41022,-0.000204646,-0.162161,0.827494,0.827494,985.738,-258.949,-551.358,23.0508,0.0381099,3.4076,-0.000221487,-0.161067
0.33,0.416291,4.18853,979.519,-283.918,-549.156,19.9636,0.0411499,3.48618,-0.000138228,0.0205705,0.479639,4.91444,980.835,-256.267,-551.625,24.3216,0.0427456,3.46742,-0.000194749,-0.174178,0.827163,0.827163,980.835,-256.393,-551.584,24.3324,0.0427589,3.46401,-0.000206607,-0.161108
0.336,0.419504,4.19862,977.202,-260.759,-548.613,38.2148,0.0429615,3.53514,-0.000656208,-0.314494,0.479012,4.9132,978.436,-250.448,-547.861,21.7858,0.04187,3.48969,-0.000175239,-0.158009,0.82656,0.82656,978.436,-250.396,-547.881,21.7953,0.0418333,3.48806,-0.000215128,-0.160481
0.342,0.419055,4.19229,974.636,-255.54,-550.937,30.2575,0.0363134,3.57319,6.30978e-05,-0.0700396,0.477812,4.93336,975.944,-239.874,-546.797,23.3124,0.0403988,3.54725,-0.000205272,-0.152975,0.827714,0.827714,975.944,-239.825,-546.783,23.3275,0.0402791,3.5451,-0.000218747,-0.164033
0.348,0.423203,4.18792,970.66,-260.852,-540.703,25.6292,0.0393604,3.66733,-0.000287477,-0.218999,0.479458,4.91765,971.972,-234.765,-543.242,24.4906,0.0407486,3.5936,-0.000202302,-0.170598,0.827407,0.827407,971.972,-234.646,-543.29,24.4828,0.0406959,3.59265,-0.000215516,-0.158467
0.354,0.421118,4.2062,966.023,-265.479,-572.115,42.1594,0.0417595,3.8228,0.000270124,-0.170853,0.481137,4.93022,967.666,-235.428,-548.538,23.1059,0.0445734,3.66459,-0.000186664,-0.150188,0.827534,0.827534,967.666,-235.365,-548.575,23.0956,0.0445191,3.66421,-0.000204203,-0.151758
0.36,0.421991,4.20473,963.816,-233.559,-554.534,21.3636,0.0330977,3.84049,-2.68998e-05,-0.2166,0.479612,4.94408,965.268,-228.7,-548.692,25.4663,0.0411812,3.73319,-0.000181419,-0.165197,0.828548,0.828548,965.268,-228.897,-548.609,25.4781,0.0411609,3.73079,-0.00020373,-0.15579
0.366,0.422872,4.21913,959.505,-251.009,-568.684,47.1957,0.0365235,3.77103,-0.000305277,-0.163642,0.48067,4.94995,961.137,-221.977,-543.457,24.3548,0.0422585,3.7277,-0.00018087,-0.143044,0.826815,0.826815,961.137,-222.184,-543.375,24.3842,0.0422142,3.72528,-0.000200634,-0.144625
0.372,0.420751,4.18931,957.815,-226.797,-545.951,22.8445,0.0394361,3.84882,-0.000143531,-0.178549,0.476321,4.91734,959.489,-218.39,-535.789,23.4449,0.0432095,3.73306,-0.000157932,-0.141861,0.827225,0.827225,959.489,-218.445,-535.764,23.4524,0.0431556,3.73298,-0.000194419,-0.146309
0.378,0.421969,4.2034,952.878,-215.456,-527.403,18.5534,0.0478582,3.89369,-1.84621e-05,-0.187185,0.478988,4.94817,954.444,-214.008,-541.188,23.8747,0.0461338,3.81201,-0.000210766,-0.150053,0.827667,0.827667,954.444,-213.986,-541.196,23.878,0.0460726,3.81124,-0.000201274,-0.14267
0.384,0.424196,4.20983,949.465,-228.054,-542.709,18.3544,0.0461358,3.92943,-7.49706e-05,0.197781,0.476545,4.95838,951.411,-211.128,-537.786,25.2209,0.0462675,3.86426,-0.000182727,-0.137049,0.8268,0.8268,951.411,-211.236,-537.719,25.2488,0.0463026,3.86201,-0.000196759,-0.145101
0.39,0.420296,4.16842,949.656,-213.984,-551.62,28.0169,0.0473363,3.84854,-1.90288e-05,-0.1793,0.475499,4.93481,951.3,-203.847,-528.302,24.6676,0.0446762,3.81571,-0.000199038,-0.129722,0.827387,0.827387,951.3,-203.904,-528.272,24.6856,0.0447004,3.81459,-0.000200267,-0.135389
