corr-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,0.470136,5.26769,991.951,-412.716,-617.819,9.80143,0.0613085,3.4465,-0.000149648,-0.242116,0.522821,5.3895,991.951,-412.716,-617.819,9.80143,0.0613085,3.4465,-0.000149648,-0.242116,0.984591,0.984591,991.951,-114.782,-245.824,2.97493,0.0197238,1.06989,-8.58481e-05,-0.0525547
0.312,0.455777,3.60476,991.705,-385.791,-550.08,0.388297,0.0487827,3.2341,-0.00106782,-0.137525,0.193118,3.56265,991.705,-385.791,-550.08,0.388297,0.0487827,3.2341,-0.00106782,-0.137525,0.903574,0.903574,991.705,-117.31,-244.528,2.50808,0.0200698,1.06294,-8.16509e-05,-0.0531637
0.324,0.180105,1.86372,990.865,-403.111,-605.13,9.58326,0.0573571,3.3522,0.000214555,-0.485004,0.205616,2.05606,990.865,-403.111,-605.13,9.58326,0.0573571,3.3522,0.000214555,-0.485004,0.386691,0.386691,990.865,-117.329,-245.329,1.44088,0.0200283,1.06045,-8.59331e-05,-0.0526327
0.336,0.195776,1.95954,992.739,-421.344,-590.307,29.2793,0.0525078,3.46393,0.000419966,-0.25829,0.181056,1.93374,992.739,-421.344,-590.307,29.2793,0.0525078,3.46393,0.000419966,-0.25829,0.389056,0.389056,992.739,-116.006,-241.109,3.8769,0.019831,1.049,-8.52342e-05,-0.0536292
0.348,0.201061,2.18616,991.978,-383.584,-677.121,13.2486,0.0600869,3.36594,-0.000584747,-0.117792,0.208311,2.29502,991.978,-383.584,-677.121,13.2486,0.0600869,3.36594,-0.000584747,-0.117792,0.677138,0.677138,991.978,-113.803,-243.361,3.0177,0.0195619,1.05625,-8.24766e-05,-0.0534361
0.36,0.245129,5.4528,991.941,-464.273,-619.327,44.3291,0.0483987,3.49763,-0.000300258,-0.264497,0.555852,4.35654,991.941,-464.273,-619.327,44.3291,0.0483987,3.49763,-0.000300258,-0.264497,0.397524,0.397524,991.941,-112.934,-243.348,2.42916,0.0194444,1.05514,-8.17917e-05,-0.0530485
0.372,0.209443,2.14053,992.618,-382.225,-605.663,44.0087,0.0486211,3.33401,-2.12437e-05,-0.124275,0.205519,2.63642,992.618,-382.225,-605.663,44.0087,0.0486211,3.33401,-2.12437e-05,-0.124275,0.860325,0.860325,992.618,-112.393,-241.708,3.1838,0.0193424,1.04951,-8.07996e-05,-0.0525919
0.384,0.226597,2.20472,993.345,-386.16,-538.833,-0.142286,0.0532364,3.2198,-0.00125267,-0.184036,0.287577,2.12841,993.345,-386.16,-538.833,-0.142286,0.0532364,3.2198,-0.00125267,-0.184036,0.382865,0.382865,993.345,-107.245,-240.988,2.5311,0.0184132,1.04751,-8.02655e-05,-0.0526037
0.396,0.298931,4.04598,994.107,-384.078,-569.252,4.63791,0.0604695,3.15815,-0.000607127,0.075674,0.519911,2.96821,994.107,-384.078,-569.252,4.63791,0.0604695,3.15815,-0.000607127,0.075674,0.284281,0.284281,994.107,-105.964,-239.635,2.76089,0.0181431,1.0421,-8.2967e-05,-0.0524022
0.408,0.40974,2.79719,992.633,-345.306,-549.581,9.19369,0.0503854,3.12039,-0.000163637,0.111907,0.435375,2.61114,992.633,-345.306,-549.581,9.19369,0.0503854,3.12039,-0.000163637,0.111907,0.390302,0.390302,992.633,-106.939,-242.735,3.66149,0.0183822,1.0526,-8.06088e-05,-0.0537823
