corr-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,4.65772,52.6743,991.672,-416.722,-585.907,15.3683,0.0572552,3.32571,-0.00039259,-0.187074,6.33175,41.9241,995.842,-360.618,-541.29,12.661,0.0644072,3.12445,-0.000288927,-0.157525,5.81733,5.81733,995.842,-360.62,-541.284,12.6659,0.0643099,3.12333,-0.000296587,-0.158479
0.312,5.36979,44.23,991.762,-406.167,-581.666,21.9247,0.0553092,3.32532,-0.000422945,-0.0583849,5.09442,43.9489,995.946,-355.477,-540.939,12.4343,0.0632034,3.12286,-0.000282534,-0.156571,4.68504,4.68504,995.946,-355.513,-540.916,12.4366,0.0631205,3.12144,-0.000291311,-0.157978
0.324,3.00698,29.2031,992.355,-427.675,-587.163,16.903,0.0609817,3.36338,-0.000201028,-0.138845,3.04786,31.2683,996.549,-354.799,-539.552,13.3436,0.0635495,3.12504,-0.000288143,-0.161224,4.20493,4.20493,996.549,-354.853,-539.527,13.3435,0.0634738,3.12363,-0.000294546,-0.161189
0.336,2.22002,21.6607,992.247,-410.755,-582.92,24.4672,0.0553894,3.37125,-0.000275944,-0.250375,2.53659,30.7754,996.376,-351.959,-538.739,13.3044,0.0629105,3.11812,-0.00028428,-0.158784,6.11548,6.11548,996.376,-351.916,-538.773,13.3024,0.0628154,3.11718,-0.000290949,-0.159192
0.348,2.14302,21.2157,992.255,-404.1,-610.26,23.1832,0.0560679,3.38603,-0.000479634,-0.202813,2.45146,26.4583,996.351,-347.607,-538.686,13.8296,0.0616478,3.11794,-0.000282446,-0.15918,4.20511,4.20511,996.351,-347.638,-538.662,13.8335,0.0615588,3.11681,-0.000288955,-0.159237
0.36,2.16339,21.5394,992.277,-408.98,-572.863,10.3923,0.0543285,3.29361,-0.000236329,-0.23205,2.50426,25.2148,996.475,-343.884,-537.906,13.0699,0.0610393,3.10187,-0.000273966,-0.157197,4.16357,4.16357,996.475,-343.877,-537.914,13.066,0.0609589,3.10041,-0.00028267,-0.158782
0.372,2.18165,20.4732,992.626,-402.557,-586.677,11.8621,0.0525959,3.23876,-0.000444899,-0.132146,2.51103,25.1025,996.659,-339.981,-535.881,14.1147,0.0597881,3.08368,-0.000274609,-0.158992,4.17556,4.17556,996.659,-340.052,-535.842,14.117,0.0597238,3.08181,-0.000280855,-0.158971
0.384,2.10928,21.376,992.885,-390.347,-577.249,8.11043,0.0545072,3.31231,-0.000221104,-0.125159,2.52938,25.1907,996.847,-334.006,-536.022,13.6982,0.05889,3.08606,-0.000272304,-0.158887,4.18602,4.18602,996.847,-333.992,-536.035,13.6988,0.0587979,3.085,-0.000278284,-0.159044
0.396,2.10252,21.0395,992.844,-396.039,-573.873,19.911,0.0526525,3.26337,-0.000415969,-0.152043,2.51771,25.0488,996.921,-336.615,-533.463,14.8859,0.0592346,3.07488,-0.000270334,-0.157899,4.15521,4.15521,996.921,-336.606,-533.468,14.8903,0.0591398,3.0738,-0.000276329,-0.158027
0.408,2.05026,21.2584,993.273,-378.136,-570.161,19.038,0.0514037,3.29738,-2.22905e-05,-0.109728,1.73645,15.7541,997.367,-330.301,-534.502,14.8204,0.0580291,3.08281,-0.000266437,-0.160403,2.78956,2.78956,997.367,-330.31,-534.496,14.819,0.0579407,3.08166,-0.000273281,-0.160094
