vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,Smooth price,Smooth dPricedVol1,Smooth dPricedVol2,Smooth dPricedCorr,AADC price,AADC dPricedVol1,AADC dPricedVol2,AADC dPricedCorr
0.1, 1011.96, 24.4157, -527.893, 22.016, 1012.1, 13.2933, -570.121, 12.0694, 1012.14, 9.16366, -606.627, 0.592631
0.11, 1012.1, -0.749833, -527.907, 22.2304, 1012.13, -8.42725, -569.706, 12.9894, 1012.15, -16.6608, -606.386, 1.66155
0.12, 1011.67, -67.1372, -529.613, 22.4753, 1011.81, -43.5947, -569.581, 13.4664, 1011.82, -42.6044, -605.756, 2.7641
0.13, 1011.13, -78.3954, -529.051, 23.0431, 1011.29, -61.5654, -569.123, 14.1363, 1011.28, -69.1041, -604.589, 4.0776
0.14, 1010.18, -124.066, -527.197, 24.845, 1010.29, -141.39, -567.71, 15.3705, 1010.29, -129.868, -601.894, 6.2177
0.15, 1008.86, -185.514, -526.486, 25.2815, 1008.87, -169.629, -566.08, 16.6281, 1008.88, -160.85, -599.212, 8.15915
0.16, 1006.91, -238.107, -524.641, 26.6004, 1007.03, -221.567, -552.402, 24.064, 1007.07, -204.606, -586.51, 15.1269
0.17, 1004.44, -251.002, -522.614, 27.8216, 1004.64, -265.395, -544.685, 27.952, 1004.74, -261.667, -576.034, 20.4063
0.18, 1001.54, -185.139, -517.992, 30.6649, 1001.78, -249.876, -540.596, 30.03, 1002, -266.977, -569.657, 23.5849
0.19, 998.841, -320.76, -513.892, 31.8581, 999.024, -306.714, -532.183, 33.5465, 999.227, -295.986, -558.387, 28.342
0.2, 995.878, -243.775, -507.643, 32.1324, 996.023, -287.583, -524.086, 36.6842, 996.242, -294.191, -548.479, 32.2898
0.21, 992.813, -339.54, -500.692, 33.7193, 992.969, -341.663, -514.227, 40.0564, 993.152, -338.13, -534.932, 37.0611
0.22, 989.048, -328.355, -491.72, 34.9827, 989.285, -340.674, -499.659, 44.4088, 989.589, -351.714, -517.403, 42.5854
0.23, 985.283, -381.68, -469.941, 34.9488, 985.626, -393.901, -484.192, 48.7882, 985.946, -377.92, -504.538, 46.4654
0.24, 981.647, -343.026, -445.067, 36.1869, 981.911, -372.143, -473.958, 51.5648, 982.239, -368.601, -494.395, 49.3614
0.25, 978.043, -328.922, -437.893, 38.9052, 978.274, -346.628, -462.678, 54.3392, 978.588, -361.27, -479.687, 53.0164
0.26, 974.357, -450.718, -427.979, 41.4875, 974.553, -413.379, -452.006, 56.8457, 974.83, -395.841, -467.576, 55.854
0.27, 970.18, -508.513, -421.363, 42.8369, 970.454, -439.623, -442.016, 59.0025, 970.765, -419.628, -455.535, 58.5115
0.28, 965.905, -406.018, -410.288, 46.5127, 966.232, -405.685, -430.731, 61.1454, 966.601, -409.5, -443.133, 61.042
0.29, 962.044, -444.255, -402.511, 47.1556, 962.211, -415.291, -424.766, 62.864, 962.502, -417.415, -435.439, 62.7964
0.3, 957.503, -524.147, -396.549, 48.0939, 957.866, -447.811, -410.881, 64.9903, 958.229, -430.198, -421.773, 65.0723
0.31, 953.555, -414.762, -387.521, 48.7687, 953.765, -428.249, -402.893, 66.487, 953.976, -434.354, -412.85, 66.7307
0.32, 948.985, -465.69, -383.065, 66.1432, 949.18, -474.474, -396.918, 69.6163, 949.449, -465.527, -404.683, 68.6892
0.33, 944.256, -368.441, -377.547, 68.6315, 944.48, -431.395, -388.468, 71.4091, 944.846, -446.074, -394.44, 70.4696
0.34, 939.925, -427.948, -370.539, 69.6523, 940.179, -438.876, -378.546, 72.6338, 940.437, -444.375, -383.647, 71.9492
0.35, 935.201, -511.246, -343.108, 70.7496, 935.598, -475.845, -367.524, 74.0454, 935.881, -463.993, -373.941, 73.2731
0.36, 930.643, -402.293, -368.694, 88.2451, 930.958, -445.223, -358.94, 77.0118, 931.277, -452.516, -363.031, 74.8587
0.37, 926.564, -431.16, -362.544, 89.6269, 926.634, -428.148, -350.678, 78.1207, 926.815, -445.777, -352.51, 76.0327
0.38, 921.958, -501.363, -354.596, 90.8397, 922.081, -477.763, -344.624, 78.9384, 922.257, -466.327, -344.448, 76.8659
0.39, 917.062, -385.868, -345.265, 93.3122, 917.293, -457.862, -333.175, 79.8299, 917.565, -465.991, -334.323, 77.6443
