corr,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,2.02863,21.0403,991.672,-416.722,-585.907,15.3683,0.0572552,3.32571,-0.00039259,-0.187074,2.38804,24.1087,992.694,-399.945,-572.581,14.9486,0.0607578,3.28288,-0.000297153,-0.163244,4.48828,4.48828,992.694,-399.938,-572.575,14.9554,0.0606162,3.28176,-0.000307465,-0.164993
0.312,2.18189,20.6531,991.869,-414.008,-581.327,18.6088,0.0563641,3.33383,-0.000382551,-0.25332,2.4074,24.284,992.876,-396.088,-571.302,15.2564,0.0599794,3.2743,-0.000293559,-0.163116,4.18892,4.18892,992.876,-396.138,-571.267,15.2636,0.0598359,3.27331,-0.000305013,-0.165035
0.324,2.07331,20.7728,992.047,-410.741,-572.173,18.8003,0.0555937,3.34725,-0.000369339,-0.206533,2.39364,24.1804,993.061,-392.355,-569.961,15.5933,0.059203,3.26578,-0.000288741,-0.162764,4.16803,4.16803,993.061,-392.41,-569.921,15.5999,0.0590759,3.26455,-0.00030272,-0.165104
0.336,2.07285,17.3924,992.246,-406.385,-577.219,14.3795,0.0548915,3.35251,-0.00035939,-0.230365,1.57746,15.9144,993.25,-388.601,-568.646,15.923,0.0584201,3.25726,-0.000286976,-0.164124,2.7241,2.7241,993.25,-388.614,-568.643,15.9234,0.058298,3.25602,-0.00030011,-0.165095
0.348,1.39174,15.2434,992.499,-403.238,-585.824,12.7082,0.0542974,3.33197,-0.000363406,-0.326064,1.55207,16.82,993.443,-384.688,-567.442,16.2022,0.0576263,3.2486,-0.000285443,-0.165758,2.70789,2.70789,993.443,-384.681,-567.452,16.1996,0.0574953,3.24748,-0.000297904,-0.165059
0.36,1.37241,14.215,992.668,-399.011,-581.32,16.0386,0.0534051,3.31513,-0.000359861,-0.199721,1.63741,21.032,993.638,-380.671,-566.281,16.4219,0.0568088,3.23996,-0.00028341,-0.166952,4.14463,4.14463,993.638,-380.68,-566.275,16.4248,0.0566816,3.23853,-0.000295232,-0.164995
0.372,2.03291,15.8209,992.878,-395.681,-565.804,22.1568,0.052797,3.30855,-0.000346086,-0.189424,2.56458,17.0813,993.837,-376.526,-565.208,16.5796,0.0559687,3.23145,-0.000281689,-0.16794,2.70962,2.70962,993.837,-376.496,-565.223,16.5789,0.0558253,3.23027,-0.00029257,-0.165185
0.384,1.37385,13.8115,993.091,-389.564,-573.642,22.0848,0.0516503,3.29492,-0.000349614,-0.2258,1.57009,15.723,994.036,-372.351,-564.145,16.7475,0.0551188,3.22322,-0.000278684,-0.167776,2.74988,2.74988,994.036,-372.333,-564.154,16.7471,0.0549786,3.22194,-0.000289976,-0.165278
0.396,1.37728,13.711,993.292,-383.449,-570.845,18.803,0.0506591,3.28136,-0.000340275,-0.248989,1.54264,15.4651,994.239,-368.072,-563.21,16.9285,0.0542636,3.21557,-0.000274715,-0.166783,2.74409,2.74409,994.239,-368.016,-563.242,16.9257,0.0540971,3.21488,-0.000287221,-0.165641
0.408,1.36094,13.5199,993.499,-379.485,-581.009,15.3505,0.0497294,3.26279,-0.000344123,-0.200589,1.52989,15.1937,994.444,-363.942,-562.183,17.1995,0.0534108,3.20831,-0.000271315,-0.165979,2.73586,2.73586,994.444,-363.892,-562.215,17.1938,0.0532646,3.20717,-0.000284782,-0.165718
0.42,1.33854,13.396,993.68,-375.162,-588.138,20.2126,0.0489203,3.25874,-0.000343956,-0.150912,1.52156,15.1289,994.652,-359.737,-561.208,17.4897,0.0525407,3.20169,-0.000269936,-0.166071,2.73643,2.73643,994.652,-359.756,-561.208,17.4886,0.0524347,3.19971,-0.000281997,-0.165793
