vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,price_time,risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_price_time,smooth_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_price_time,aadc_risk_time
0.1, 1012.97, 8.84644, -557.376, -10.3396, 0.11715, 0.703243, 1013.12, 3.59421, -620.203, -14.8379, 0.143526, 0.860776, 1013.12, 3.63822, -620.186, -14.8367, 0.057096, 0.057096
0.11, 1012.92, -17.0401, -557.911, -10.1378, 0.119389, 0.707086, 1013.04, -17.9324, -619.197, -12.8632, 0.143828, 0.865278, 1013.04, -17.9494, -619.178, -12.861, 0.057037, 0.057037
0.12, 1012.66, -41.9216, -559.216, -9.95468, 0.117496, 0.707534, 1012.79, -35.2891, -618.206, -11.1976, 0.14376, 0.863267, 1012.79, -35.2456, -618.188, -11.1959, 0.057148, 0.057148
0.13, 1012.2, -86.7617, -555.265, -5.82154, 0.118842, 0.710988, 1012.27, -70.685, -615.642, -8.65725, 0.143719, 0.86223, 1012.27, -70.6933, -615.625, -8.65549, 0.057028, 0.057028
0.14, 1011.25, -102.969, -552.942, -4.56948, 0.117898, 0.70709, 1011.35, -114.366, -611.344, -5.30937, 0.143826, 0.864541, 1011.35, -114.407, -611.327, -5.30764, 0.057549, 0.057549
0.15, 1009.82, -145.4, -550.503, -3.27543, 0.117865, 0.709012, 1010.03, -146.563, -605.838, -1.58781, 0.143901, 0.881878, 1010.03, -146.54, -605.822, -1.58632, 0.058649, 0.058649
0.16, 1008.09, -180.856, -541.517, 5.46923, 0.11772, 0.708747, 1008.41, -178.317, -596.601, 3.68707, 0.143459, 0.860571, 1008.41, -178.299, -596.582, 3.68892, 0.05858, 0.05858
0.17, 1006.03, -219.988, -541.739, 7.63961, 0.117921, 0.705936, 1006.44, -214.872, -587.628, 8.4599, 0.144079, 0.863344, 1006.44, -214.906, -587.611, 8.46151, 0.058594, 0.058594
0.18, 1003.72, -215.961, -537.972, 9.78625, 0.11783, 0.707002, 1004.16, -240.124, -579.688, 12.4155, 0.142975, 0.861401, 1004.16, -240.103, -579.674, 12.4169, 0.05864, 0.05864
0.19, 1001.15, -320.245, -533.039, 11.4257, 0.117827, 0.707685, 1001.62, -270.196, -570.432, 16.532, 0.14442, 0.865777, 1001.62, -270.203, -570.424, 16.533, 0.0576, 0.0576
0.2, 998.182, -316.322, -530.096, 13.8955, 0.118819, 0.707649, 998.765, -298.347, -558.689, 21.2245, 0.143191, 0.869783, 998.765, -298.369, -558.678, 21.2256, 0.057365, 0.057365
0.21, 994.901, -303.807, -521.037, 16.1843, 0.117813, 0.709553, 995.687, -316.137, -546.042, 25.866, 0.143424, 0.861259, 995.687, -316.135, -546.034, 25.867, 0.058502, 0.058502
0.22, 991.682, -333.872, -505.916, 17.8995, 0.117976, 0.707744, 992.44, -334.069, -532.111, 30.5563, 0.143384, 0.862019, 992.44, -334.073, -532.101, 30.5573, 0.058461, 0.058461
0.23, 988.057, -323.035, -488.04, 20.284, 0.118072, 0.708351, 989.018, -347.927, -518.677, 34.7771, 0.143346, 0.862869, 989.018, -347.939, -518.663, 34.7782, 0.058274, 0.058274
0.24, 984.588, -358.581, -474.334, 22.0525, 0.117962, 0.710417, 985.505, -355.027, -506.168, 38.3699, 0.143201, 0.86189, 985.505, -355.015, -506.158, 38.371, 0.058587, 0.058587
0.25, 981.014, -363.656, -464.206, 23.8263, 0.117967, 0.709878, 981.897, -367.564, -492.433, 41.914, 0.143275, 0.861878, 981.897, -367.559, -492.425, 41.915, 0.058787, 0.058787
0.26, 977.336, -419.216, -445.989, 29.1024, 0.118783, 0.70936, 978.14, -384.703, -478.284, 45.3071, 0.143423, 0.860857, 978.14, -384.704, -478.277, 45.3081, 0.058441, 0.058441
0.27, 973.208, -437.74, -434.553, 34.3321, 0.118746, 0.709613, 974.205, -400.952, -464.183, 48.4809, 0.145333, 0.860547, 974.205, -400.966, -464.173, 48.4819, 0.058602, 0.058602
0.28, 969.067, -399.522, -427.091, 39.4211, 0.118138, 0.710234, 970.147, -409.7, -451.325, 51.227, 0.143572, 0.860714, 970.147, -409.694, -451.318, 51.228, 0.058562, 0.058562
0.29, 965.022, -451.108, -411.483, 41.2661, 0.12017, 0.714736, 966.004, -419.802, -438.132, 53.7962, 0.143585, 0.860285, 966.004, -419.802, -438.124, 53.7972, 0.058547, 0.058547
0.3, 960.637, -458.745, -400.324, 45.8309, 0.119027, 0.709892, 961.749, -430.674, -425.199, 56.1405, 0.143364, 0.862211, 961.749, -430.68, -425.188, 56.1415, 0.058468, 0.058468
0.31, 956.27, -438.147, -389.678, 50.3547, 0.118179, 0.708708, 957.402, -438.064, -414.154, 58.0735, 0.143595, 0.861205, 957.402, -438.076, -414.149, 58.0745, 0.058175, 0.058175
0.32, 951.811, -416.118, -381.545, 54.7925, 0.118099, 0.712214, 953.007, -440.348, -402.938, 59.8748, 0.143572, 0.861011, 953.007, -440.35, -402.934, 59.8758, 0.058521, 0.058521
0.33, 947.455, -376.09, -368.062, 56.4157, 0.118326, 0.709429, 948.599, -441.452, -391.249, 61.5601, 0.143672, 0.862438, 948.599, -441.443, -391.244, 61.5611, 0.058453, 0.058453
