corr-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,1.28878,8.65891,991.298,-451.394,-599.125,14.4039,0.0585532,3.35182,-0.000505024,-0.075103,0.835407,7.71841,991.298,-451.394,-599.125,14.4039,0.0585532,3.35182,-0.000505024,-0.075103,2.53233,2.53233,991.298,-117.583,-244.916,3.09011,0.0201734,1.06385,-8.46987e-05,-0.0526575
0.312,1.40355,11.042,991.131,-406.006,-572.483,16.8449,0.0519994,3.267,-0.000563196,-0.245603,0.897416,6.12996,991.131,-406.006,-572.483,16.8449,0.0519994,3.267,-0.000563196,-0.245603,0.971358,0.971358,991.131,-116.494,-246.017,2.63819,0.0199603,1.06836,-8.31172e-05,-0.0528044
0.324,1.38644,9.95086,991.206,-416.82,-581.767,6.92711,0.0590238,3.38253,-0.000439575,-0.189204,0.446124,4.22145,991.206,-416.82,-581.767,6.92711,0.0590238,3.38253,-0.000439575,-0.189204,0.809757,0.809757,991.206,-116.611,-244.397,2.20881,0.0199442,1.05852,-8.56275e-05,-0.0524443
0.336,0.944051,5.45918,992.248,-420.786,-589.511,29.9476,0.0567594,3.39698,0.000486282,-0.198869,0.483483,4.58445,992.248,-420.786,-589.511,29.9476,0.0567594,3.39698,0.000486282,-0.198869,0.893995,0.893995,992.248,-115.697,-242.676,3.06034,0.0197845,1.05617,-8.43981e-05,-0.0539026
0.348,0.459216,4.68566,992.828,-396.864,-650.997,14.4268,0.0555149,3.41828,-0.000723727,-0.160475,0.457762,6.89039,992.828,-396.864,-650.997,14.4268,0.0555149,3.41828,-0.000723727,-0.160475,1.8762,1.8762,992.828,-111.74,-243.24,2.84834,0.0191702,1.0589,-8.40336e-05,-0.0533721
0.36,0.463092,5.01828,992.003,-434.759,-587.737,25.7145,0.0489085,3.41353,-0.000343684,-0.147511,0.40815,4.42442,992.003,-434.759,-587.737,25.7145,0.0489085,3.41353,-0.000343684,-0.147511,0.808058,0.808058,992.003,-112.379,-242.893,2.28076,0.0193177,1.05197,-8.29106e-05,-0.0525913
0.372,0.540867,4.96001,992.304,-388.161,-613.703,35.5364,0.0516581,3.32678,-0.000388767,-0.271152,0.553122,4.62739,992.304,-388.161,-613.703,35.5364,0.0516581,3.32678,-0.000388767,-0.271152,1.34529,1.34529,992.304,-112.964,-241.488,2.84988,0.0193789,1.04703,-8.14754e-05,-0.052495
0.384,0.430691,4.52006,994.108,-398.57,-551.787,0.376452,0.0599608,3.2537,-0.000981184,-0.377154,0.417308,5.34467,994.108,-398.57,-551.787,0.376452,0.0599608,3.2537,-0.000981184,-0.377154,0.7581,0.7581,994.108,-107.856,-239.353,3.12698,0.0184728,1.04043,-8.12621e-05,-0.0527651
0.396,0.461204,4.86983,993.344,-389.568,-594.09,13.4622,0.0534593,3.23404,-0.000411286,-0.0430187,0.463191,4.89099,993.344,-389.568,-594.09,13.4622,0.0534593,3.23404,-0.000411286,-0.0430187,0.839841,0.839841,993.344,-107.374,-240.99,3.09833,0.0184086,1.04722,-8.21485e-05,-0.0522477
0.408,0.533575,4.68925,993.518,-345.74,-569.643,18.6106,0.0546725,3.20937,0.000102651,0.0162754,0.435257,4.20615,993.518,-345.74,-569.643,18.6106,0.0546725,3.20937,0.000102651,0.0162754,0.724195,0.724195,993.518,-108.264,-240.014,3.93288,0.0186097,1.04335,-8.12106e-05,-0.0540743
0.42,0.941685,4.93902,993.219,-366.977,-562.494,19.1995,0.0514864,3.33835,-0.000543621,-0.218812,0.434683,4.31627,993.219,-366.977,-562.494,19.1995,0.0514864,3.33835,-0.000543621,-0.218812,0.745725,0.745725,993.219,-103.454,-243.693,3.7747,0.0178001,1.06027,-8.00028e-05,-0.0529885
0.432,0.423028,4.4017,993.983,-385.042,-604.581,14.6345,0.0472368,3.36619,-0.000247623,0.0929821,0.471513,4.37673,993.983,-385.042,-604.581,14.6345,0.0472368,3.36619,-0.000247623,0.0929821,0.719954,0.719954,993.983,-103.196,-240.047,3.20939,0.0177083,1.0397,-8.16931e-05,-0.0530347
0.444,0.453681,4.3673,993.877,-395.681,-577.685,10.2261,0.0532356,3.30077,-0.000292328,-0.088252,0.439358,4.37289,993.877,-395.681,-577.685,10.2261,0.0532356,3.30077,-0.000292328,-0.088252,1.01137,1.01137,993.877,-104.102,-238.615,3.37314,0.0178343,1.0324,-8.10204e-05,-0.0517155
0.456,0.43227,6.55366,994.629,-401.479,-573.112,20.5959,0.0509156,3.32072,-0.000319724,-0.0607407,0.775639,4.74789,994.629,-401.479,-573.112,20.5959,0.0509156,3.32072,-0.000319724,-0.0607407,0.801152,0.801152,994.629,-101.048,-238.219,3.32489,0.0173895,1.03261,-7.9601e-05,-0.053065
0.468,0.541059,5.81368,994.089,-344.623,-574.145,27.0741,0.0448172,3.31271,-0.000174821,-0.35593,0.439477,5.75019,994.089,-344.623,-574.145,27.0741,0.0448172,3.31271,-0.000174821,-0.35593,1.24901,1.24901,994.089,-99.879,-239.49,3.91155,0.0171802,1.03786,-7.67249e-05,-0.0524389
0.48,0.430361,4.39491,994.597,-336.959,-556.029,15.1982,0.0436081,3.20913,-0.000634399,-0.322455,0.435151,4.49351,994.597,-336.959,-556.029,15.1982,0.0436081,3.20913,-0.000634399,-0.322455,0.752056,0.752056,994.597,-97.868,-238.714,3.89169,0.0168105,1.03473,-7.80259e-05,-0.0521983
0.492,0.629325,6.14528,994.164,-384.595,-580.578,14.7495,0.0458692,3.23485,-0.000517133,-0.38759,0.424975,4.7878,994.164,-384.595,-580.578,14.7495,0.0458692,3.23485,-0.000517133,-0.38759,0.791003,0.791003,994.164,-96.2861,-240.545,3.76679,0.0165275,1.04249,-7.73116e-05,-0.0530962
0.504,0.815946,6.98439,994.291,-336.993,-575.017,24.9946,0.0426797,3.24372,6.34071e-05,-0.0839017,0.45137,5.48236,994.291,-336.993,-575.017,24.9946,0.0426797,3.24372,6.34071e-05,-0.0839017,0.740595,0.740595,994.291,-95.242,-240.471,4.83472,0.0163621,1.03994,-7.48591e-05,-0.0519528
0.516,0.436618,5.34258,996.12,-346.14,-567.817,28.67,0.0441825,3.2208,-5.12701e-05,-0.175607,0.439854,4.40086,996.12,-346.14,-567.817,28.67,0.0441825,3.2208,-5.12701e-05,-0.175607,0.748196,0.748196,996.12,-92.4624,-236.925,3.4487,0.0159571,1.02679,-7.69512e-05,-0.0530769
0.528,0.43256,4.34072,995.74,-351.731,-559.425,25.3719,0.0441095,3.1606,-0.000211927,-0.25684,0.429619,5.06482,995.74,-351.731,-559.425,25.3719,0.0441095,3.1606,-0.000211927,-0.25684,0.761519,0.761519,995.74,-92.5569,-236.407,3.96627,0.0159137,1.02386,-7.42418e-05,-0.0518936
0.54,0.438174,4.38366,995.57,-295.431,-565.73,29.9072,0.0384796,3.33424,-0.000340543,-0.155117,0.436263,4.28532,995.57,-295.431,-565.73,29.9072,0.0384796,3.33424,-0.000340543,-0.155117,0.755016,0.755016,995.57,-89.7579,-238.378,4.34604,0.0154507,1.03296,-7.48144e-05,-0.0535531
0.552,0.8016,4.97244,996.412,-371.657,-568.774,35.6751,0.0447507,3.4173,-0.000125583,-0.212048,0.659982,9.54353,996.412,-371.657,-568.774,35.6751,0.0447507,3.4173,-0.000125583,-0.212048,1.48117,1.48117,996.412,-86.2431,-237.956,4.28577,0.0148912,1.02977,-7.48906e-05,-0.0538749
0.564,0.440189,4.47524,997.543,-335.085,-551.915,32.799,0.0387973,3.19074,-0.000566382,-0.18334,0.422268,4.2843,997.543,-335.085,-551.915,32.799,0.0387973,3.19074,-0.000566382,-0.18334,1.10355,1.10355,997.543,-85.1819,-234.599,4.85026,0.0146425,1.01484,-7.30669e-05,-0.0514582
0.576,1.15736,5.38024,996.827,-321.156,-573.295,25.1744,0.0381542,3.23582,-0.000737137,-0.365953,0.775458,5.41541,996.827,-321.156,-573.295,25.1744,0.0381542,3.23582,-0.000737137,-0.365953,0.900339,0.900339,996.827,-85.6447,-235.313,4.04379,0.0148309,1.01845,-7.38604e-05,-0.0532187
