spot2,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
48.91,0.089868,0.829014,548.466,-3.83787,-16.8756,12.8394,0.00387082,13.143,0.000133217,-1.03005,0.09746,0.987051,560.268,-13.3067,-59.056,2.1357,0.00814221,12.9896,-9.34861e-06,-0.0250227,0.162649,0.162649,560.268,-13.3052,-59.0544,2.13412,0.00816953,12.9895,-1.71028e-05,-0.00962886
50.8664,0.090102,0.832436,572.907,-21.235,-166.512,70.1126,0.00506839,13.149,4.53428e-05,3.02194,0.112741,0.962063,585.618,-17.6767,-98.0797,3.4255,0.00907477,12.9112,-3.11926e-05,-0.0559273,0.190207,0.190207,585.618,-17.8495,-98.097,3.51739,0.00918422,12.9072,-2.0599e-05,-0.0304877
52.8228,0.073645,0.831039,597.892,-25.877,-99.2038,16.5886,0.0054014,12.1298,6.92968e-05,-0.214763,0.096696,0.991278,610.813,-22.1338,-140.778,3.97229,0.0100018,12.8581,-2.69407e-05,-0.0229413,0.162861,0.162861,610.813,-22.2406,-140.78,3.9727,0.00999795,12.8584,-2.52822e-05,-0.0330474
54.7792,0.090209,0.833521,622.789,-30.5704,-173.368,-58.1145,0.00582837,12.5636,8.8634e-05,1.44563,0.096831,0.983153,635.938,-26.9656,-185.418,4.78211,0.0108018,12.818,-2.51428e-05,-0.0509647,0.162671,0.162671,635.938,-26.9136,-185.419,4.7424,0.0107834,12.8202,-3.07787e-05,-0.0577083
56.7356,0.073625,0.846086,648.453,-33.7937,-262.736,-19.2025,0.00696161,13.0306,0.000140816,-1.16369,0.097591,1.00748,660.865,-34.4437,-237.839,6.3375,0.0123309,12.6462,-3.03747e-05,-0.102463,0.162554,0.162554,660.865,-34.4748,-237.853,6.3668,0.0122345,12.6499,-3.59407e-05,-0.0930171
58.692,0.095119,0.997317,672.912,-53.5524,-327.286,14.8454,0.0101045,12.7008,-2.14867e-05,0.0275772,0.105182,0.982408,685.39,-44.4747,-290.439,7.95015,0.0141121,12.4196,-4.29407e-05,-0.121473,0.162453,0.162453,685.39,-44.4586,-290.446,7.94892,0.0141985,12.4171,-4.03508e-05,-0.1104
60.6484,0.089327,0.824947,697.419,-57.5799,-365.336,40.1987,0.0126475,12.0117,0.000152156,-0.162404,0.096418,0.958264,709.449,-54.3329,-339.94,9.67251,0.0161669,12.1839,-3.31457e-05,-0.094242,0.16248,0.16248,709.449,-54.2685,-339.943,9.66777,0.0162241,12.1816,-4.39882e-05,-0.118263
62.6048,0.089463,0.712119,720.811,-61.4042,-331.676,38.1725,0.012121,12.4393,0.000213595,0.839309,0.04861,0.793798,733.093,-60.3157,-386.382,8.3941,0.0175057,11.9726,-4.65034e-05,-0.131502,0.158587,0.158587,733.093,-60.3085,-386.382,8.4083,0.0173427,11.9797,-5.19323e-05,-0.136929
64.5612,0.105822,0.661188,745.057,-65.8677,-412.311,-0.436793,0.0132184,11.7128,0.000215307,-1.27664,0.099413,0.746602,756.241,-70.4542,-434.625,9.90606,0.0193918,11.671,-6.50954e-05,-0.178034,0.108121,0.108121,756.241,-70.3606,-434.65,9.89382,0.0193258,11.6729,-5.75892e-05,-0.164023
66.5176,0.084407,0.592118,768.065,-83.2874,-467.87,4.77386,0.0161192,11.7683,-4.67819e-05,0.0511705,0.081695,0.703318,778.735,-79.7387,-480.461,13.3917,0.0213064,11.3193,-6.3157e-05,-0.190457,0.134258,0.134258,778.735,-79.5268,-480.501,13.2795,0.0211555,11.3258,-6.46453e-05,-0.198222
68.474,0.074231,0.577571,790.398,-89.3924,-497.637,58.9623,0.0158528,11.0534,2.39904e-05,0.129026,0.049179,0.768427,800.482,-89.9793,-525.855,18.4009,0.0229722,10.8931,-7.94538e-05,-0.235654,0.163457,0.163457,800.482,-90.145,-525.848,18.4412,0.0231189,10.8889,-8.06141e-05,-0.227889
70.4304,0.074559,0.6227,811.882,-94.5625,-548.192,-0.688713,0.0181393,10.8906,-0.000124376,1.41142,0.066051,0.811963,821.346,-99.3173,-566.394,22.561,0.0244346,10.4247,-9.81568e-05,-0.259395,0.082947,0.082947,821.346,-99.1203,-566.414,22.5327,0.0243891,10.4261,-9.15018e-05,-0.258899
72.3868,0.041566,0.574607,832.765,-98.6935,-579.762,70.1815,0.0177132,10.3164,-0.000141553,1.28992,0.099028,0.649257,841.219,-114.166,-598.785,26.2115,0.026742,9.87947,-9.75147e-05,-0.283488,0.163881,0.163881,841.219,-114.2,-598.792,26.2041,0.0268299,9.87688,-0.000102436,-0.277018
74.3432,0.045288,0.610614,852.018,-123.501,-680.466,46.784,0.0211982,9.48134,-0.000338183,0.368737,0.048429,0.688737,859.99,-125.839,-627.163,25.5826,0.0283927,9.30955,-9.70829e-05,-0.285973,0.147638,0.147638,859.99,-126.217,-627.082,25.6651,0.02833,9.30975,-0.000109861,-0.293255
76.2996,0.041423,0.589632,871.097,-130.049,-611.937,33.2305,0.0214951,9.44215,-0.000496526,-1.81904,0.095457,0.90216,877.643,-140.01,-647.584,24.8577,0.0303235,8.73128,-0.000110093,-0.299344,0.08324,0.08324,877.643,-139.955,-647.629,24.8378,0.0303092,8.73209,-0.000120124,-0.305273
78.256,0.081714,0.638298,888.444,-154.997,-693.518,52.0036,0.0274213,8.0384,-0.000155691,-1.83468,0.048176,0.786894,894.145,-152.621,-660.128,23.9106,0.0320757,8.13171,-0.000108876,-0.313163,0.114837,0.114837,894.145,-152.546,-660.167,23.886,0.0319455,8.13426,-0.000128413,-0.316498
