vol2,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.15,0.287777,3.44677,1071.36,-601.495,-245.083,-16.2304,0.0653785,-0.989173,3.78006e-05,-0.221396,0.352137,3.8493,1068.17,-526.943,-245.499,-3.22787,0.06013,-0.623237,-0.000342071,-0.0321896,0.697929,0.697929,1068.17,-527.014,-245.367,-3.22826,0.0600636,-0.628016,-0.000354621,-0.0481313
0.156,0.367807,3.98651,1069.71,-587.786,-260.578,-3.97702,0.0629327,-0.801325,-2.02967e-06,-0.0751035,0.502761,4.48293,1066.62,-517.203,-272.061,-1.22503,0.0588759,-0.409822,-0.000337256,-0.0524528,0.484853,0.484853,1066.62,-517.328,-271.834,-1.225,0.0588426,-0.415473,-0.000353382,-0.0670524
0.162,0.208078,3.62394,1067.92,-563.455,-325.807,-4.13185,0.0599043,-0.49586,-1.57776e-05,-0.0864589,0.500991,5.07982,1064.91,-505.817,-299.442,0.727153,0.0573952,-0.190929,-0.000346483,-0.0780396,0.808501,0.808501,1064.91,-505.887,-299.365,0.722522,0.0572879,-0.195113,-0.000349982,-0.0835659
0.168,0.398823,4.06878,1065.89,-548.941,-351.793,6.95337,0.0585265,-0.154609,3.90715e-05,-0.300991,0.51447,4.85021,1063.03,-493.496,-326.572,2.60314,0.0557636,0.0293338,-0.000329157,-0.087763,0.663939,0.663939,1063.03,-493.628,-326.45,2.60336,0.0556562,0.0257156,-0.000345994,-0.0978814
0.174,0.377114,4.12655,1063.41,-531.093,-409.891,-4.31284,0.0559115,0.0416909,2.58147e-05,0.0597139,0.529225,4.82432,1060.99,-481.408,-351.264,4.40944,0.0542534,0.242486,-0.000327628,-0.101437,0.809645,0.809645,1060.99,-481.269,-351.462,4.40555,0.05403,0.241125,-0.000341439,-0.110486
0.18,0.376627,4.23937,1060.99,-515.375,-471.971,9.82415,0.0547152,0.32674,2.5505e-05,-0.247332,0.507939,4.89125,1058.82,-468.9,-374.118,6.08423,0.0526801,0.450759,-0.000324725,-0.114299,0.834269,0.834269,1058.82,-468.813,-374.263,6.08134,0.0524576,0.449219,-0.000335686,-0.120292
0.186,0.503986,4.12117,1058.4,-498.133,-379.192,-11.1049,0.0530071,0.451848,2.3947e-05,-0.0388718,0.449935,4.47397,1056.51,-456.803,-394.606,7.64882,0.0511711,0.651781,-0.000314099,-0.122891,0.473378,0.473378,1056.51,-457.001,-394.405,7.64962,0.0511001,0.647236,-0.000329507,-0.129235
0.192,0.41846,4.06811,1055.8,-491.319,-456.35,12.8426,0.0509685,0.710538,3.09991e-05,-0.140513,0.433005,4.27052,1054.08,-444.252,-413.801,8.98083,0.0498143,0.844211,-0.000296188,-0.126421,0.793206,0.793206,1054.08,-444.303,-413.76,8.98338,0.0496076,0.842763,-0.000324316,-0.136091
0.198,0.367052,3.94123,1053.04,-482.844,-465.132,10.6651,0.0493963,1.04371,-1.21029e-05,-0.0928377,0.491705,5.09628,1051.55,-434.205,-428.896,10.4296,0.0488362,1.02266,-0.000288062,-0.132005,0.836241,0.836241,1051.55,-434.45,-428.664,10.4321,0.048774,1.01867,-0.000317895,-0.142357
0.204,0.434187,4.09723,1050.08,-472.849,-447.057,7.39783,0.0472406,1.13772,-3.20442e-05,-0.10829,0.255074,3.74787,1048.94,-422.374,-444.241,11.5059,0.0476831,1.19853,-0.000299331,-0.144695,0.744704,0.744704,1048.94,-422.055,-444.57,11.5029,0.0474575,1.1981,-0.000310818,-0.148271
0.21,0.338959,2.62051,1047.09,-457.282,-520.237,11.4281,0.0452926,1.31136,-0.0001829,-0.0251081,0.253898,2.80991,1046.23,-410.764,-457.834,12.6012,0.0464391,1.36962,-0.000294799,-0.149621,0.41513,0.41513,1046.23,-410.872,-457.752,12.6047,0.0463983,1.365,-0.00030564,-0.152973
0.216,0.274681,3.39602,1044.18,-432.233,-524.588,3.38441,0.0443743,1.47093,-9.39949e-05,-0.324698,0.468104,2.72701,1043.44,-399.546,-469.837,13.5493,0.0454532,1.52859,-0.00027011,-0.145054,0.414425,0.414425,1043.44,-399.272,-470.093,13.5499,0.0452852,1.52693,-0.000299654,-0.156951
0.222,0.213623,2.17476,1041.18,-416.198,-504.123,4.07379,0.0427878,1.60848,-0.000150393,-0.269111,0.248496,2.48919,1040.59,-389.265,-479.871,14.5976,0.0446544,1.67804,-0.000274342,-0.153119,0.415405,0.415405,1040.59,-389.417,-479.767,14.6032,0.04457,1.67458,-0.000292669,-0.160535
0.228,0.217398,2.55261,1038.15,-409.126,-494.03,-14.1807,0.0419315,1.83341,-0.000319939,-0.463164,0.442804,3.21055,1037.68,-378.818,-489.237,15.4792,0.043755,1.82444,-0.000274661,-0.159205,0.413495,0.413495,1037.68,-378.965,-489.134,15.4771,0.0437433,1.81932,-0.000288155,-0.163446
0.234,0.214269,3.31082,1034.92,-399.407,-544.438,24.9195,0.0409418,1.99748,-0.000355909,-0.162851,0.251182,2.51728,1034.72,-366.93,-499.174,16.0131,0.0427732,1.96765,-0.000273096,-0.164092,0.650166,0.650166,1034.72,-367.065,-499.059,16.0231,0.042644,1.96511,-0.0002817,-0.164638
0.24,0.445719,3.65618,1031.76,-390.431,-565.679,20.4929,0.0403187,2.12023,-0.000286717,-0.602444,0.470095,3.58019,1031.7,-356.65,-506.919,16.697,0.042065,2.10056,-0.000249558,-0.158831,0.420626,0.420626,1031.7,-356.752,-506.848,16.7014,0.041919,2.09826,-0.00027613,-0.166718
0.246,0.215757,2.16544,1028.38,-377.01,-578.153,25.9804,0.0395263,2.23676,-0.000351328,-0.155998,0.252923,2.51713,1028.64,-347.797,-512.899,17.5079,0.0415959,2.2244,-0.000249863,-0.164918,0.416088,0.416088,1028.64,-347.861,-512.879,17.4987,0.0414936,2.22137,-0.00027184,-0.168225
0.252,0.213717,2.13695,1025.21,-367.863,-548.451,21.4285,0.0387379,2.30086,-0.000426815,-0.604018,0.252294,2.52824,1025.54,-338.421,-518.925,18.0801,0.0411065,2.34506,-0.000245565,-0.167294,0.421347,0.421347,1025.54,-338.267,-519.06,18.0593,0.0409888,2.34285,-0.000265586,-0.169165
0.258,0.216034,2.17028,1021.83,-360.078,-545.338,20.7057,0.0391126,2.427,-0.000424829,-0.247509,0.255283,2.5433,1022.41,-329.556,-523.992,18.7128,0.0408083,2.45808,-0.000232262,-0.164434,0.422894,0.422894,1022.41,-329.682,-523.896,18.7275,0.0407074,2.45556,-0.000260304,-0.16908
0.264,0.218492,2.16609,1018.65,-354.038,-538.79,23.5414,0.0390871,2.60728,-0.00045087,-0.593741,0.253792,2.54651,1019.26,-321.675,-527.823,19.4331,0.0407032,2.56305,-0.000225846,-0.164131,0.423748,0.423748,1019.26,-321.839,-527.723,19.4437,0.0406152,2.56053,-0.000255413,-0.169447
0.27,0.218068,2.19096,1015.15,-346.866,-592.193,22.8118,0.0386379,2.84877,-0.000367527,-0.245674,0.257525,2.56575,1016.08,-313.941,-531.143,20.0361,0.0406291,2.66359,-0.000227817,-0.167098,0.422698,0.422698,1016.08,-313.866,-531.189,20.0313,0.040581,2.66031,-0.000251355,-0.170497
0.276,0.216799,2.17671,1011.65,-342.039,-597.519,35.4259,0.0401543,2.86419,-0.00033347,-0.0724814,0.25457,2.55385,1012.88,-305.068,-534.932,20.3069,0.0404985,2.76149,-0.000234782,-0.172106,0.422651,0.422651,1012.88,-304.983,-534.967,20.3116,0.0402812,2.76158,-0.000245431,-0.169885
0.282,0.21735,2.19961,1008.29,-334.27,-542.465,5.80229,0.0397376,2.9327,-0.000294041,-0.173429,0.258946,2.5584,1009.67,-297.646,-537.261,20.7595,0.0403966,2.8547,-0.000223614,-0.169173,0.423264,0.423264,1009.67,-297.574,-537.303,20.7636,0.0402854,2.85276,-0.000241678,-0.169299
0.288,0.217882,2.17355,1004.88,-324.51,-608.374,41.2883,0.0391391,3.00169,-0.000298023,-0.0726597,0.256158,2.5642,1006.44,-290.018,-539.464,21.0726,0.040347,2.94322,-0.000222656,-0.169891,0.424863,0.424863,1006.44,-289.992,-539.51,21.0576,0.0403276,2.93972,-0.000237861,-0.169216
0.294,0.21877,2.19215,1001.52,-319.487,-554.979,11.5389,0.0394831,3.06322,-0.000270972,-0.0495029,0.258556,2.54818,1003.19,-281.545,-542.081,21.0937,0.0403717,3.02686,-0.000218479,-0.168465,0.421572,0.421572,1003.19,-281.61,-542.042,21.1027,0.0401953,3.02678,-0.000233928,-0.168773
0.3,0.217292,2.15272,998.182,-316.322,-530.096,13.8955,0.0399425,3.10475,-0.000281083,-0.0254692,0.253359,2.5502,999.936,-274.859,-543.128,21.5393,0.0404808,3.10575,-0.000215194,-0.168101,0.421872,0.421872,999.936,-275.193,-542.936,21.5876,0.040492,3.10154,-0.000230398,-0.167924
0.306,0.216831,2.173,994.861,-305.752,-558.442,8.47538,0.0396957,3.24795,-0.000248341,-0.152253,0.258255,2.52475,996.673,-268.02,-544.361,21.8437,0.0406985,3.17984,-0.000209488,-0.166915,0.417514,0.417514,996.673,-268.003,-544.383,21.8347,0.0405765,3.17841,-0.000227174,-0.166708
0.312,0.215444,2.14391,991.474,-298.644,-587.926,56.3676,0.0404467,3.43387,-0.000228964,-0.19254,0.250836,2.53511,993.405,-261.69,-545.162,22.2685,0.0409809,3.24999,-0.000207011,-0.166915,0.420361,0.420361,993.405,-261.831,-545.081,22.283,0.0408878,3.2483,-0.000223352,-0.165264
0.318,0.216146,2.16724,988.009,-285.341,-573.202,-10.7456,0.0399226,3.50742,-0.000243102,-0.0726765,0.257035,2.51908,990.132,-255.496,-545.798,22.6381,0.0412719,3.31759,-0.000205475,-0.166615,0.416995,0.416995,990.132,-255.449,-545.846,22.617,0.0411822,3.31596,-0.00021802,-0.164221
0.324,0.213966,2.14398,984.61,-282.429,-600.175,27.0187,0.0404775,3.48504,-0.000242635,-0.0530095,0.250221,2.53522,986.856,-249.913,-545.95,23.1288,0.041717,3.37925,-0.000194097,-0.161481,0.420878,0.420878,986.856,-249.927,-545.939,23.1357,0.0415986,3.37826,-0.000215071,-0.162527
