vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,price_time,risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_price_time,smooth_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_price_time,aadc_risk_time
0.1, 1011.96, 24.4157, -527.893, 22.016, 0.023291, 0.1399, 1016.12, -10.7867, -593.217, -6.85137, 0.028617, 0.171946, 1016.12, -10.7775, -593.218, -6.8512, 0.010789, 0.010789
0.11, 1012.1, -0.749833, -527.907, 22.2304, 0.023354, 0.140334, 1015.95, -25.3204, -593.05, -5.8782, 0.028669, 0.171476, 1015.95, -25.3113, -593.051, -5.87805, 0.010749, 0.010749
0.12, 1011.67, -67.1372, -529.613, 22.4753, 0.023232, 0.140166, 1015.6, -45.1854, -591.816, -4.26234, 0.028617, 0.171448, 1015.6, -45.1782, -591.817, -4.26221, 0.010733, 0.010733
0.13, 1011.13, -78.3954, -529.051, 23.0431, 0.023317, 0.139839, 1015.03, -69.3666, -589.281, -1.97524, 0.028671, 0.17262, 1015.03, -69.3611, -589.282, -1.97512, 0.010795, 0.010795
0.14, 1010.18, -124.066, -527.197, 24.845, 0.023766, 0.141474, 1014.2, -96.8312, -585.368, 0.884254, 0.028379, 0.171762, 1014.2, -96.8275, -585.37, 0.884345, 0.010689, 0.010689
0.15, 1008.86, -185.514, -526.486, 25.2815, 0.023102, 0.139798, 1013.08, -126.498, -579.919, 4.27687, 0.02855, 0.171414, 1013.08, -126.497, -579.921, 4.27693, 0.010566, 0.010566
0.16, 1006.91, -238.107, -524.641, 26.6004, 0.023391, 0.140251, 1011.67, -157.067, -572.862, 8.15372, 0.028435, 0.171598, 1011.67, -157.068, -572.863, 8.15379, 0.010484, 0.010484
0.17, 1004.44, -251.002, -522.614, 27.8216, 0.02341, 0.140249, 1009.94, -186.859, -564.446, 12.3243, 0.028539, 0.170172, 1009.94, -186.863, -564.448, 12.3244, 0.010486, 0.010486
0.18, 1001.54, -185.139, -517.992, 30.6649, 0.023115, 0.140293, 1007.94, -214.517, -554.998, 16.5837, 0.028551, 0.170988, 1007.94, -214.521, -555, 16.5838, 0.010666, 0.010666
0.19, 998.841, -320.76, -513.892, 31.8581, 0.023423, 0.140326, 1005.66, -239.705, -544.698, 20.8215, 0.028768, 0.171541, 1005.66, -239.708, -544.7, 20.8216, 0.010576, 0.010576
0.2, 995.878, -243.775, -507.643, 32.1324, 0.023843, 0.140388, 1003.15, -262.76, -533.665, 24.9794, 0.028601, 0.170913, 1003.15, -262.763, -533.666, 24.9795, 0.010472, 0.010472
0.21, 992.813, -339.54, -500.692, 33.7193, 0.023479, 0.140393, 1000.41, -283.964, -522.073, 28.99, 0.028631, 0.171523, 1000.41, -283.967, -522.074, 28.9901, 0.010454, 0.010454
0.22, 989.048, -328.355, -491.72, 34.9827, 0.023596, 0.142914, 997.475, -303.355, -510.078, 32.7966, 0.028597, 0.171457, 997.475, -303.358, -510.08, 32.7967, 0.010446, 0.010446
0.23, 985.283, -381.68, -469.941, 34.9488, 0.023466, 0.140574, 994.352, -320.968, -497.728, 36.3831, 0.028638, 0.171385, 994.352, -320.97, -497.73, 36.3832, 0.010463, 0.010463
0.24, 981.647, -343.026, -445.067, 36.1869, 0.023511, 0.140652, 991.061, -337.019, -485.017, 39.7599, 0.028653, 0.171176, 991.061, -337.022, -485.019, 39.76, 0.01044, 0.01044
0.25, 978.043, -328.922, -437.893, 38.9052, 0.023449, 0.14126, 987.616, -351.797, -472.003, 42.9325, 0.028597, 0.171512, 987.616, -351.799, -472.005, 42.9325, 0.010484, 0.010484
0.26, 974.357, -450.718, -427.979, 41.4875, 0.023531, 0.140459, 984.029, -365.445, -458.87, 45.885, 0.028554, 0.171508, 984.029, -365.447, -458.872, 45.885, 0.010469, 0.010469
0.27, 970.18, -508.513, -421.363, 42.8369, 0.023602, 0.160842, 980.311, -377.922, -445.862, 48.5908, 0.028514, 0.171265, 980.311, -377.924, -445.864, 48.5909, 0.010484, 0.010484
0.28, 965.905, -406.018, -410.288, 46.5127, 0.023569, 0.140748, 976.475, -389.163, -433.163, 51.0362, 0.028583, 0.171415, 976.475, -389.165, -433.164, 51.0362, 0.010509, 0.010509
0.29, 962.044, -444.255, -402.511, 47.1556, 0.023692, 0.140706, 972.532, -399.214, -420.813, 53.2328, 0.028514, 0.171081, 972.532, -399.216, -420.815, 53.2329, 0.010538, 0.010538
