vol1,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.1,0.210917,2.10559,1012.97,8.84644,-557.376,-10.3396,-0.080802,3.40235,0.000406204,-0.0403338,0.244077,2.67063,1015.08,-23.8593,-583.833,-9.05732,-0.0389764,3.2898,0.000236632,-0.167003,0.556923,0.556923,1015.08,-23.8688,-583.831,-9.0553,-0.0389842,3.28844,0.000197496,-0.166864
0.104,0.28839,2.24566,1013,-3.42265,-557.435,-10.2922,-0.0770138,3.40491,0.000183668,-0.0428855,0.258469,2.60952,1014.98,-29.5438,-583.519,-8.61077,-0.0369109,3.28941,0.00021042,-0.167488,0.434261,0.434261,1014.98,-29.5489,-583.517,-8.60735,-0.0368998,3.28737,0.000174499,-0.166717
0.108,0.220593,2.29656,1012.93,-0.198714,-557.985,-10.2172,-0.0730477,3.38143,0.000321663,-0.0346571,0.250437,2.50671,1014.85,-35.7886,-583.127,-8.11793,-0.0346884,3.28761,0.000184366,-0.167898,0.415949,0.415949,1014.85,-35.8421,-583.117,-8.11344,-0.034705,3.28598,0.000151059,-0.166631
0.112,0.211865,2.13773,1012.86,-33.7176,-558.329,-10.1473,-0.0708707,3.38159,0.000124895,-0.0317623,0.250216,2.55489,1014.69,-42.8739,-582.536,-7.49824,-0.0323506,3.28538,0.000164455,-0.165751,0.416929,0.416929,1014.69,-42.8512,-582.556,-7.51252,-0.0323678,3.28361,0.000128052,-0.166691
0.116,0.216979,2.33062,1012.76,-17.4161,-558.662,-10.0772,-0.0676687,3.38048,0.000183562,-0.0253281,0.332129,2.83157,1014.5,-49.8338,-582.17,-7.08379,-0.0299229,3.28337,0.000138255,-0.166578,0.416518,0.416518,1014.5,-49.8365,-582.148,-7.06933,-0.0299814,3.28231,0.000105174,-0.166602
0.12,0.213808,2.145,1012.66,-41.9216,-559.216,-9.95468,-0.0636302,3.36836,0.000157618,-0.0345397,0.251001,2.51572,1014.29,-57.8362,-581.425,-6.40958,-0.0273327,3.28009,0.000115913,-0.165706,0.424128,0.424128,1014.29,-57.8123,-581.421,-6.41253,-0.0273969,3.27899,8.22794e-05,-0.166505
0.124,0.223213,2.19823,1012.48,-50.4228,-559.104,-9.61399,-0.0575071,3.3626,0.000350124,-0.0346039,0.252791,2.56426,1014.04,-66.4219,-580.529,-5.66747,-0.024605,3.27617,9.31843e-05,-0.165006,0.422882,0.422882,1014.04,-66.4605,-580.509,-5.65804,-0.0246577,3.27465,6.0091e-05,-0.165987
0.128,0.21982,2.20004,1012.36,-60.5297,-555.573,-6.1662,-0.0526614,3.36113,-0.000319139,-0.0316315,0.255179,2.55894,1013.76,-75.4316,-579.552,-4.91126,-0.021714,3.27111,6.58826e-05,-0.166418,0.422049,0.422049,1013.76,-75.4448,-579.544,-4.90242,-0.0218143,3.27035,3.76184e-05,-0.165939
0.132,0.218101,2.19426,1012.04,-68.9824,-555.181,-5.4845,-0.0484426,3.34827,0.000110685,-0.0390881,0.257381,2.57637,1013.43,-85.4688,-578.097,-3.86972,-0.0186455,3.26429,4.28687e-05,-0.165997,0.424625,0.424625,1013.43,-85.5346,-578.08,-3.86385,-0.0186974,3.26244,1.61388e-05,-0.165684
0.136,0.222385,2.20106,1011.75,-99.7499,-554.21,-5.56718,-0.0415878,3.34783,-0.000258747,-0.0435908,0.258582,2.57964,1013.07,-95.6777,-576.638,-2.87486,-0.0154585,3.25686,2.21992e-05,-0.164954,0.42361,0.42361,1013.07,-95.6941,-576.625,-2.8693,-0.015524,3.25522,-5.27875e-06,-0.165948
