vol1,price,dPricedVol1,dPricedVol2,dPricedCorr,price_time,risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_price_time,smooth_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_price_time,aadc_risk_time
0.1, 1011.96, 24.4157, -527.893, 22.016, 0.02322, 0.13973, 1012.88, 1.36223, -625.26, -7.97325, 0.028614, 0.171195, 1012.88, 1.38275, -625.252, -7.97248, 0.010954, 0.010954
0.11, 1012.1, -0.749833, -527.907, 22.2304, 0.02341, 0.139962, 1012.81, -17.8289, -625.493, -7.11372, 0.028489, 0.171157, 1012.81, -17.8208, -625.485, -7.11305, 0.011017, 0.011017
0.12, 1011.67, -67.1372, -529.613, 22.4753, 0.023359, 0.140321, 1012.5, -43.1133, -624.385, -5.39902, 0.028709, 0.171223, 1012.5, -43.1052, -624.378, -5.39847, 0.010973, 0.010973
0.13, 1011.13, -78.3954, -529.051, 23.0431, 0.02328, 0.139953, 1011.93, -73.045, -621.65, -2.76532, 0.028582, 0.17115, 1011.93, -73.0333, -621.643, -2.76477, 0.010998, 0.010998
0.14, 1010.18, -124.066, -527.197, 24.845, 0.023363, 0.139686, 1011.02, -108.987, -617.886, 0.243309, 0.028516, 0.171382, 1011.02, -108.988, -617.879, 0.24376, 0.010953, 0.010953
0.15, 1008.86, -185.514, -526.486, 25.2815, 0.023715, 0.14117, 1009.75, -145.829, -612.696, 3.69921, 0.029562, 0.171296, 1009.75, -145.823, -612.69, 3.69941, 0.010849, 0.010849
0.16, 1006.91, -238.107, -524.641, 26.6004, 0.023386, 0.139801, 1008.09, -185.348, -604.362, 8.42038, 0.028512, 0.171222, 1008.09, -185.349, -604.355, 8.42078, 0.010753, 0.010753
0.17, 1004.44, -251.002, -522.614, 27.8216, 0.023361, 0.140044, 1006.05, -223.345, -594.412, 13.5181, 0.028541, 0.171503, 1006.05, -223.366, -594.406, 13.5185, 0.010779, 0.010779
0.18, 1001.54, -185.139, -517.992, 30.6649, 0.023397, 0.140214, 1003.66, -251.135, -584.147, 18.3274, 0.02858, 0.171464, 1003.66, -251.144, -584.141, 18.3277, 0.010756, 0.010756
0.19, 998.841, -320.76, -513.892, 31.8581, 0.023407, 0.140062, 1001.04, -272.815, -572.919, 23.0979, 0.028521, 0.171253, 1001.04, -272.818, -572.914, 23.0981, 0.010734, 0.010734
0.2, 995.878, -243.775, -507.643, 32.1324, 0.023448, 0.140227, 998.212, -293.378, -560.412, 27.9607, 0.029196, 0.171429, 998.212, -293.373, -560.408, 27.9609, 0.010756, 0.010756
0.21, 992.813, -339.54, -500.692, 33.7193, 0.023406, 0.140521, 995.167, -315.843, -546.806, 32.8151, 0.028434, 0.170788, 995.167, -315.847, -546.801, 32.8154, 0.010796, 0.010796
0.22, 989.048, -328.355, -491.72, 34.9827, 0.023477, 0.140338, 991.902, -336.126, -533.202, 37.3161, 0.028625, 0.171392, 991.902, -336.137, -533.196, 37.3164, 0.010748, 0.010748
0.23, 985.283, -381.68, -469.941, 34.9488, 0.023424, 0.140777, 988.465, -350.392, -520.36, 41.2416, 0.0296, 0.171227, 988.465, -350.398, -520.355, 41.2418, 0.010799, 0.010799
0.24, 981.647, -343.026, -445.067, 36.1869, 0.023443, 0.140265, 984.906, -361.224, -507.182, 44.881, 0.028395, 0.171254, 984.906, -361.222, -507.179, 44.8812, 0.010735, 0.010735
0.25, 978.043, -328.922, -437.893, 38.9052, 0.023414, 0.140211, 981.238, -372.635, -492.824, 48.4777, 0.02839, 0.171248, 981.238, -372.631, -492.82, 48.4778, 0.010784, 0.010784
0.26, 974.357, -450.718, -427.979, 41.4875, 0.023556, 0.140645, 977.446, -386.109, -478.234, 51.855, 0.028496, 0.171054, 977.446, -386.109, -478.23, 51.8552, 0.010749, 0.010749
0.27, 970.18, -508.513, -421.363, 42.8369, 0.023378, 0.140151, 973.518, -399.196, -464.131, 54.8985, 0.028436, 0.17123, 973.518, -399.202, -464.126, 54.8986, 0.010706, 0.010706
0.28, 965.905, -406.018, -410.288, 46.5127, 0.02347, 0.140245, 969.473, -409.222, -451.186, 57.5284, 0.028651, 0.171312, 969.473, -409.225, -451.181, 57.5286, 0.010884, 0.010884
0.29, 962.044, -444.255, -402.511, 47.1556, 0.023506, 0.140717, 965.339, -417.493, -439.324, 59.7828, 0.028501, 0.171378, 965.339, -417.492, -439.321, 59.783, 0.010782, 0.010782
0.3, 957.503, -524.147, -396.549, 48.0939, 0.023559, 0.140723, 961.123, -425.769, -427.658, 61.8404, 0.028456, 0.170719, 961.123, -425.769, -427.655, 61.8405, 0.010877, 0.010877
0.31, 953.555, -414.762, -387.521, 48.7687, 0.023551, 0.142198, 956.824, -433.868, -416.144, 63.7424, 0.029416, 0.171227, 956.824, -433.869, -416.142, 63.7426, 0.010764, 0.010764
0.32, 948.985, -465.69, -383.065, 66.1432, 0.023494, 0.14072, 952.448, -440.972, -404.597, 65.5181, 0.028468, 0.170899, 952.448, -440.976, -404.597, 65.5183, 0.010784, 0.010784
0.33, 944.256, -368.441, -377.547, 68.6315, 0.023207, 0.14056, 948.013, -445.709, -392.907, 67.1736, 0.028573, 0.171832, 948.013, -445.711, -392.906, 67.1738, 0.010863, 0.010863
0.34, 939.925, -427.948, -370.539, 69.6523, 0.023523, 0.140461, 943.539, -448.891, -381.425, 68.6681, 0.028599, 0.17114, 943.539, -448.892, -381.425, 68.6682, 0.010811, 0.010811
0.35, 935.201, -511.246, -343.108, 70.7496, 0.0235, 0.142313, 939.036, -451.706, -370.21, 69.9917, 0.028492, 0.170874, 939.036, -451.707, -370.21, 69.9919, 0.010764, 0.010764
