corr-noisy,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.3,6.95443,71.198,991.659,-414.912,-587.991,17.0317,0.0584389,3.32412,-0.000316797,-0.113376,8.51138,83.522,991.659,-414.912,-587.991,17.0317,0.0584389,3.32412,-0.000316797,-0.113376,14.3473,14.3473,991.659,-118.015,-244.148,2.75671,0.0202196,1.06024,-8.494e-05,-0.0526939
0.312,4.78223,58.2477,991.897,-411.838,-585.232,18.2107,0.056434,3.33595,-0.000319774,-0.0802278,5.66995,47.8888,991.897,-411.838,-585.232,18.2107,0.056434,3.33595,-0.000319774,-0.0802278,10.1991,10.1991,991.897,-116.182,-244.155,2.70243,0.0199039,1.06082,-8.41504e-05,-0.0527288
0.324,5.01387,43.5024,992.051,-427.58,-591.242,16.1339,0.0597903,3.36188,-0.00018991,-0.134745,4.29846,43.0702,992.051,-427.58,-591.242,16.1339,0.0597903,3.36188,-0.00018991,-0.134745,7.44078,7.44078,992.051,-115.581,-243.49,2.88137,0.0198038,1.05806,-8.45309e-05,-0.05294
0.336,4.1972,43.212,992.247,-406.179,-582.231,20.4385,0.0552988,3.32412,-0.000275991,-0.243511,4.27189,42.994,992.247,-406.179,-582.231,20.4385,0.0552988,3.32412,-0.000275991,-0.243511,7.5836,7.5836,992.247,-114.402,-242.695,2.93682,0.0195903,1.05386,-8.35387e-05,-0.0531773
0.348,4.20288,42.697,992.289,-402.709,-592.404,23.3779,0.0563233,3.36266,-0.000296921,-0.18254,4.17754,41.7324,992.289,-402.709,-592.404,23.3779,0.0563233,3.36266,-0.000296921,-0.18254,6.75964,6.75964,992.289,-113.534,-242.566,3.02338,0.0194453,1.05304,-8.3777e-05,-0.0530585
0.36,4.05332,40.6231,992.225,-404.464,-578.561,12.8295,0.0546106,3.31072,-0.000233005,-0.244339,4.1258,40.8991,992.225,-404.464,-578.561,12.8295,0.0546106,3.31072,-0.000233005,-0.244339,7.15262,7.15262,992.225,-112.169,-242.889,3.00267,0.019233,1.05409,-8.22378e-05,-0.0529125
0.372,4.0843,40.5079,992.521,-397.26,-584.51,13.9152,0.0532235,3.28844,-0.000269537,-0.167969,4.061,40.9049,992.521,-397.26,-584.51,13.9152,0.0532235,3.28844,-0.000269537,-0.167969,7.17261,7.17261,992.521,-110.578,-242.095,3.23132,0.0189527,1.04954,-8.20212e-05,-0.0529925
0.384,4.02434,40.2673,993.155,-391.538,-574.893,13.7748,0.0539559,3.30857,-0.000136885,-0.101106,4.11545,41.2379,993.155,-391.538,-574.893,13.7748,0.0539559,3.30857,-0.000136885,-0.101106,7.1867,7.1867,993.155,-108.283,-241.401,3.22219,0.0185801,1.04671,-8.11654e-05,-0.0529023
0.396,4.05679,40.6413,993.213,-396.09,-575.153,15.6056,0.0531171,3.30763,-0.000354623,-0.166923,4.13321,40.6891,993.213,-396.09,-575.153,15.6056,0.0531171,3.30763,-0.000354623,-0.166923,7.19499,7.19499,993.213,-108.673,-240.56,3.30095,0.0186573,1.04354,-8.22326e-05,-0.0527798
0.408,4.09794,40.1986,993.429,-377.417,-571.217,19.7733,0.0504803,3.2864,-0.000145295,-0.129213,4.0034,41.1625,993.429,-377.417,-571.217,19.7733,0.0504803,3.2864,-0.000145295,-0.129213,7.19526,7.19526,993.429,-106.265,-240.833,3.3811,0.0182318,1.04467,-8.08402e-05,-0.0526752
