vol2,price_time,risk_time,price,dPricedVol1,dPricedVol2,dPricedCorr,dPricedSpot1,dPricedSpot2,gamma_spot1,gamma_spot2,smooth_price_time,smooth_risk_time,smooth_price,smooth_dPricedVol1,smooth_dPricedVol2,smooth_dPricedCorr,smooth_dPricedSpot1,smooth_dPricedSpot2,smooth_gamma_spot1,smooth_gamma_spot2,aadc_price_time,aadc_risk_time,aadc_price,aadc_dPricedVol1,aadc_dPricedVol2,aadc_dPricedCorr,aadc_dPricedSpot1,aadc_dPricedSpot2,aadc_gamma_spot1,aadc_gamma_spot2
0.15,0.778816,6.43523,1070.44,-627.743,-257.047,-8.96395,0.0630795,-0.939312,-0.00028878,-0.209213,0.545261,5.79766,1070.44,-627.743,-257.047,-8.96395,0.0630795,-0.939312,-0.00028878,-0.209213,0.991755,0.991755,1070.44,-158.305,-55.2222,2.71783,0.0273873,0.17306,-0.000109438,-0.0263989
0.156,0.550875,7.22148,1068.65,-616.162,-290.215,-0.129101,0.0612943,-0.689301,-0.000297608,-0.0273662,0.82532,7.86892,1068.65,-616.162,-290.215,-0.129101,0.0612943,-0.689301,-0.000297608,-0.0273662,1.10323,1.10323,1068.65,-155.802,-64.4105,3.15587,0.0269283,0.206452,-0.000109355,-0.0294197
0.162,0.598641,6.5051,1066.77,-597.815,-339.284,-1.9173,0.0588454,-0.448564,-0.000355306,-0.12503,0.651322,5.71057,1066.77,-597.815,-339.284,-1.9173,0.0588454,-0.448564,-0.000355306,-0.12503,0.962067,0.962067,1066.77,-153.115,-73.4877,3.54266,0.0264253,0.240734,-0.000108571,-0.0325032
0.168,0.707243,6.19247,1064.63,-580.324,-378.259,3.00572,0.0572122,-0.126725,-0.00035213,-0.18967,0.430816,6.84858,1064.63,-580.324,-378.259,3.00572,0.0572122,-0.126725,-0.00035213,-0.18967,1.20701,1.20701,1064.63,-150.156,-83.349,3.9603,0.0258891,0.278841,-0.000107261,-0.0347993
0.174,0.511485,7.16394,1062.27,-565.122,-392.896,-7.82994,0.0543535,0.0522258,-0.000383806,-0.070637,0.908193,7.28404,1062.27,-565.122,-392.896,-7.82994,0.0543535,0.0522258,-0.000383806,-0.070637,1.10588,1.10588,1062.27,-146.894,-93.8143,4.31091,0.0252946,0.320521,-0.000106601,-0.0372563
0.18,0.514631,4.29304,1059.91,-551.943,-426.381,4.24332,0.0525269,0.317638,-0.00039865,-0.231031,0.428632,4.576,1059.91,-551.943,-426.381,4.24332,0.0525269,0.317638,-0.00039865,-0.231031,0.763369,0.763369,1059.91,-143.424,-103.25,4.63145,0.0246666,0.35887,-0.000104901,-0.0395615
0.186,0.430893,4.32535,1057.35,-537.528,-419.826,-0.232537,0.0505961,0.488676,-0.000402713,-0.108801,0.447347,4.46558,1057.35,-537.528,-419.826,-0.232537,0.0505961,0.488676,-0.000402713,-0.108801,0.764845,0.764845,1057.35,-140.214,-112.697,4.99297,0.0241066,0.398323,-0.000103313,-0.0418604
0.192,0.44709,4.45283,1054.74,-531.824,-442.543,5.80778,0.0486291,0.729243,-0.000404608,-0.113025,0.451311,4.45195,1054.74,-531.824,-442.543,5.80778,0.0486291,0.729243,-0.000404608,-0.113025,0.758459,0.758459,1054.74,-136.868,-121.673,5.30087,0.0235172,0.436758,-0.000101832,-0.0432325
0.198,0.44269,4.43507,1051.99,-518.243,-443.876,5.15371,0.0469562,1.00597,-0.000490487,-0.0193614,0.444025,4.42918,1051.99,-518.243,-443.876,5.15371,0.0469562,1.00597,-0.000490487,-0.0193614,0.755181,0.755181,1051.99,-133.803,-130.207,5.53196,0.0229796,0.474569,-0.000100011,-0.0449319
0.204,0.447681,4.45307,1049.1,-509.71,-491.067,9.3023,0.0453229,1.2272,-0.000591594,-0.142792,0.443778,4.44811,1049.1,-509.71,-491.067,9.3023,0.0453229,1.2272,-0.000591594,-0.142792,0.755547,0.755547,1049.1,-129.91,-139.436,5.70048,0.0223087,0.515696,-9.82264e-05,-0.0462419
0.21,0.450884,4.43321,1046.06,-492.537,-502.331,9.09265,0.0436931,1.35156,-0.000628808,0.0384104,0.443038,5.34191,1046.06,-492.537,-502.331,9.09265,0.0436931,1.35156,-0.000628808,0.0384104,1.1035,1.1035,1046.06,-126.509,-148.137,5.89766,0.0216993,0.556369,-9.66894e-05,-0.0477685
